Na_a,Mg_a,Al_a,S_a,K_a,Ti_a,V_a,Cr_a,Mn_a,Fe_a,Co_a,Cu_a,Zn_a,Sr_a,Cd_a,Sn_a,Ba_a,Hg_a,Pb_a,name_a,Na_i,Mg_i,Al_i,S_i,K_i,Ti_i,V_i,Cr_i,Mn_i,Fe_i,Co_i,Cu_i,Zn_i,Sr_i,Cd_i,Sn_i,Ba_i,Hg_i,Pb_i,name_i
10394.2,12589.0,2378.64444,59356.62222,280156.97778,531.82222,1.42222,43.33333,3409.34444,1769921.46667,129.33333,419305.51111,41.55556,1476.11111,1.77778,8171.82222,427.55556,55.24444,5749.91111,2FeCu.a_3,195.83333,101.28889,23.23333,331.4,410.82222,292.57778,1.11111,5.11852,25.36667,12994.36667,1.22222,1110.33333,39.85185,2.03704,1.0,8.31111,2.88889,3.41111,4.62963,2FeCu.i_3
9200.97778,12167.66667,2425.97778,56942.28889,243493.42222,765.82222,2.61481,42.22222,3407.01111,1723211.46667,121.55556,451331.06667,82.77778,1412.22222,2.55556,7902.48889,414.66667,89.91111,5622.24444,2FeCu.a_4,171.27778,102.17778,28.12222,403.73333,358.82222,183.57778,1.0,4.95556,24.25556,12737.03333,1.33333,1041.11111,49.38519,2.33333,1.0,6.22222,6.77778,3.18889,3.74074,2FeCu.i_4
10376.86667,13339.22222,2311.86667,56034.73333,269960.86667,209.53333,1.97037,42.11111,3289.12222,1684006.91111,117.11111,411398.95556,42.33333,1405.44444,1.0,8847.48889,617.77778,51.24444,6509.46667,2FeCu.a_5,169.61111,114.51111,20.9,362.51111,355.26667,120.26667,1.0,6.06667,23.58889,12500.58889,1.44444,968.0,12.24444,1.48148,1.0,9.48889,3.77778,1.61852,3.81481,2FeCu.i_5
9286.53333,11831.88889,2670.53333,53714.84444,241782.97778,443.37778,2.2963,31.66667,3245.34444,1628656.68889,113.22222,424270.73333,45.0,1345.22222,1.77778,8139.48889,379.11111,66.02222,5209.68889,2FeCu.a_6,195.83333,125.4,22.56667,354.84444,419.26667,257.93333,1.0,5.22963,25.03333,12217.14444,1.11111,1067.11111,10.91111,1.2963,1.77778,10.2,2.88889,1.17407,4.03704,2FeCu.i_6
9073.75556,11498.77778,2334.97778,48353.84444,218264.97778,488.48889,3.05926,27.11111,2993.01111,1556566.46667,112.33333,402582.95556,46.0,1224.33333,2.55556,7427.93333,285.88889,57.13333,4390.91111,2FeCu.a_7,192.16667,122.51111,22.01111,331.51111,394.93333,245.84444,1.11111,4.95556,21.25556,11907.47778,1.22222,1107.44444,15.21481,1.55556,2.66667,14.91111,2.77778,1.17407,2.07407,2FeCu.i_7
9102.42222,11702.77778,2421.08889,49274.4,227327.08889,470.04444,2.51111,20.33333,2949.45556,1492090.24444,99.11111,396107.95556,49.88889,1296.22222,1.0,8351.6,331.55556,47.02222,4655.35556,2FeCu.a_8,185.61111,99.17778,28.34444,310.84444,435.6,45.0,1.0,3.05926,23.92222,11634.47778,1.33333,1100.66667,19.51852,1.66667,1.0,10.68889,8.77778,2.23704,4.0,2FeCu.i_8
8145.64444,11839.33333,2758.97778,44114.06667,201103.75556,492.71111,1.74074,31.66667,2834.34444,1438521.57778,105.66667,398769.62222,77.0,1193.55556,2.66667,7236.71111,460.44444,57.68889,4798.24444,2FeCu.a_9,211.94444,91.4,18.45556,220.62222,418.37778,465.37778,1.0,1.0,20.58889,11408.7,1.11111,903.66667,9.65926,2.22222,1.0,9.51111,1.0,1.61852,4.92593,2FeCu.i_9
8497.94444,14441.0,125437.37778,18749.67778,165772.73333,36.66667,4.41111,21.57778,588.85556,801997.93333,106.71111,80656.88889,10.0,701.31111,1.0,1687.81111,2030.54444,3.08889,4831.86667,2FeCuAl.a_0,155.9,68.55556,353.16667,154.61481,388.0,85.09259,1.0,4.80741,9.44444,6729.34444,1.62963,180.11111,1.24815,1.88889,1.0,7.07407,1.0,1.0,6.44444,2FeCuAl.i_0
8726.38889,12618.55556,121699.15556,16748.12222,160983.4,24.68889,3.41852,22.25185,584.85556,725065.82222,96.82222,71989.66667,10.11111,747.75556,1.0,6550.03333,1832.21111,1.64444,4669.08889,2FeCuAl.a_1,167.67778,49.22222,301.94444,194.84444,389.88889,206.2037,1.0,4.48889,13.0,6472.23333,1.52593,129.77778,1.58148,1.22222,1.0,11.03704,1.0,1.22222,5.22222,2FeCuAl.i_1
8062.61111,10233.11111,148585.04444,15025.67778,142922.84444,106.8,3.96667,22.52593,573.96667,669390.04444,111.6,107891.88889,20.66667,703.86667,1.0,6609.36667,1477.21111,2.28889,4185.53333,2FeCuAl.a_2,174.45556,57.44444,348.16667,156.4,374.88889,77.65556,1.0,7.93333,11.11111,6251.9,1.42222,234.0,1.82963,1.11111,1.0,6.48148,2.77778,1.0,3.66667,2FeCuAl.i_2
