Na,Mg,Al,S,K,Ti,V,Cr,Mn,Fe,Co,Cu,Zn,Sr,Cd,Sn,Ba,Hg,Pb,name
2282.12222,976.62222,136.41111,545.62222,16342.53333,55.55556,1.1037,4.80741,1060.65556,6180.95556,37.9,275.24444,1598.95556,4.33333,3.44444,6.04444,4.66667,29.85556,30.8,APP.14_6
2269.67778,987.95556,114.85556,633.17778,15924.97778,51.77778,1.0,2.58519,1111.76667,6065.84444,46.01111,296.57778,1568.73333,2.88889,2.55556,1.91111,5.55556,23.63333,25.91111,APP.14_7
2036.01111,876.73333,117.3,589.28889,14325.31111,25.11111,1.1037,3.6963,915.43333,5939.73333,36.45556,266.8,1467.73333,3.66667,5.0,7.37778,1.88889,21.52222,33.35556,APP.14_8
2281.01111,918.06667,132.07778,656.4,16060.53333,72.0,1.0,2.9037,1063.21111,5876.84444,35.23333,261.57778,1548.28889,3.22222,1.0,7.51852,3.77778,24.07778,27.24444,APP.14_9
1741.53333,747.0,242.32222,475.4,12501.81111,248.88889,1.22222,1.99259,874.58889,8355.48889,54.55556,404.55556,1921.84444,5.0,1.0,10.11111,8.66667,18.34815,75.11111,APP.15D_0
1573.42222,809.66667,246.98889,447.17778,10661.25556,189.0,1.11111,4.0963,737.7,7783.37778,50.0,307.55556,1538.84444,4.44444,1.0,12.33333,5.66667,14.32222,72.55556,APP.15D_1
1672.64444,816.77778,208.87778,545.06667,11052.7,119.22222,1.0,7.19259,792.81111,7311.15556,48.66667,279.0,1443.17778,3.22222,1.77778,12.55556,7.66667,15.87778,70.22222,APP.15D_2
1604.75556,600.55556,307.76667,315.51111,10042.58889,162.55556,1.0,6.08148,546.81111,6875.71111,45.66667,322.44444,1126.51111,4.55556,1.0,14.88889,6.55556,16.87778,93.33333,APP.15D_3
1609.31111,646.11111,243.54444,333.73333,11048.47778,244.44444,1.11111,2.98519,619.92222,6529.48889,47.11111,320.11111,1152.06667,4.88889,1.77778,15.22222,9.55556,11.34815,84.88889,APP.15D_4
1625.53333,710.66667,218.98889,421.17778,10701.58889,92.66667,1.0,2.98519,731.58889,6204.26667,45.55556,271.44444,1309.84444,5.88889,1.0,4.44444,5.77778,16.32222,64.66667,APP.15D_5
1519.08889,645.11111,217.32222,410.84444,10556.58889,172.77778,1.11111,3.1037,730.14444,5884.15556,44.66667,292.88889,1397.17778,3.55556,1.0,13.33333,4.88889,20.1,66.44444,APP.15D_6
1390.53333,565.44444,223.87778,349.06667,9609.58889,168.66667,1.11111,1.0,586.81111,5454.04444,41.0,245.33333,1121.51111,3.11111,2.66667,8.66667,11.44444,8.62222,66.88889,APP.15D_7
1434.86667,593.55556,219.54444,403.28889,9964.47778,267.33333,1.0,2.98519,647.81111,5218.04444,46.33333,253.33333,1241.51111,4.11111,1.77778,13.44444,8.55556,14.76667,56.33333,APP.15D_8
1423.86667,616.88889,214.87778,493.51111,9503.25556,115.44444,1.0,4.0963,554.14444,4961.26667,47.0,216.0,1096.06667,3.88889,1.0,14.77778,2.77778,11.48519,57.0,APP.15D_9
2113.41111,1036.0,197.54444,539.13333,15298.75556,49.88889,1.0,1.0,908.68889,11276.95556,46.55556,330.68889,2226.88889,5.77778,5.11111,3.33333,3.51111,24.41111,56.88889,APP.15_0
1969.3,1033.88889,174.54444,614.02222,14571.75556,17.33333,1.0,1.0,927.46667,10263.84444,51.88889,296.91111,2281.55556,4.0,5.11111,3.11111,1.0,29.96667,58.22222,APP.15_1
1844.18889,863.11111,174.21111,557.24444,12940.86667,99.33333,1.0,1.0,725.02222,9397.62222,39.44444,279.57778,1653.66667,4.88889,1.77778,7.11111,4.51111,20.63333,59.66667,APP.15_2
1780.07778,813.55556,173.32222,435.91111,12322.97778,33.44444,1.0,5.2,738.02222,9009.28889,36.66667,276.91111,1605.77778,5.33333,3.44444,5.44444,2.75556,19.07778,58.88889,APP.15_3
1639.74444,1043.0,139.21111,704.24444,14414.64444,1.0,1.0,1.0,1005.02222,8835.95556,53.77778,284.35556,2286.77778,4.22222,1.77778,3.55556,1.0,25.63333,45.66667,APP.15_4
1653.85556,816.66667,149.21111,541.91111,11966.86667,10.88889,1.0,2.02963,718.35556,8631.51111,37.0,256.13333,1729.55556,7.22222,1.0,11.88889,1.0,17.63333,67.0,APP.15_5
1698.41111,919.77778,150.54444,523.68889,12240.97778,10.88889,1.0,2.02963,756.13333,8505.4,37.11111,270.24444,1881.33333,3.11111,1.0,4.66667,1.0,18.63333,50.55556,APP.15_6
