Al,S,Cr,Mn,Co,Cu,Zn,Pb,Fe,Mg,Na,K,name
9.258513414336544,7.083266665786429,2.2778373788856134,7.320269556545801,5.279870463841833,7.1453713720082,5.862999669421858,10.410795663802286,13.13843858720901,8.48952504611594,11.842501357308182,11.941854246572198,225_0
9.256011390951747,7.085129434209434,2.621980925650078,7.308803239173902,5.250584987726371,7.238417017306248,5.820082930352362,10.439277621991305,13.102298529073618,8.436465063229054,11.82939945995831,11.973069887697097,225_1
9.222737651162365,7.0589205554956775,2.7904832803291533,7.275287735229788,5.280436247970979,7.172083429147705,5.7943676912000734,10.335903245996832,13.06533154378806,8.372347236723881,11.78928492795034,11.953649388461496,225_2
9.214528257529194,6.8083891057461,2.7904832803291533,7.159335107596815,5.174327621559957,7.289079472619865,5.740507190783582,10.316945080330123,13.038960270647244,8.313252960398657,11.725080417693016,11.890175885597744,225_3
9.167730901705909,6.948865235237432,2.913959695517103,7.238536753890934,5.134555841819067,7.10706141112382,5.62562069692433,10.297545624754674,13.004935028836542,8.225384097180093,11.700405453399041,11.832632148198151,225_4
9.182794442546232,6.923923860143721,2.7716626685844243,7.149262516931448,5.144971937419393,7.0640940375039944,5.7126321009464,10.177521072553018,12.989364668273044,8.281667744840775,11.714076499560159,11.868738426428784,225_5
9.114351850550195,6.858413300591238,2.5592353713842946,7.123896595773592,5.110044817673559,7.055025200594043,5.68395762111302,10.088544254158855,12.967541546482218,8.19533366716287,11.618585435796879,11.769649494173446,225_6
9.175745476890052,6.921406120827653,2.544222965164281,7.129253028707593,5.0470743857147005,6.942371387967592,5.630414977001506,10.016392536933862,12.923954443212923,8.329068161401482,11.592180683209182,11.787898366968136,225_7
9.178295715547739,6.921406120827653,3.0238516908633284,7.077357393888093,5.053481925655024,6.951984792509656,5.608657471039041,10.00367269899415,12.89859879996831,8.202269333458592,11.616059002712468,11.762094940127504,225_8
9.146213026027839,6.961264452994055,2.370589476087282,7.091141085927612,5.0612580003565055,7.024649030453636,5.5988333928663705,9.982034783618689,12.876878495690482,8.17586027159113,11.530819409144039,11.73797164960918,225_9
