Na,Mg,Al,S,K,Ti,V,Cr,Mn,Fe,Co,Cu,Zn,Sr,Cd,Sn,Ba,Hg,Pb,name
1619.86667,673.33333,227.76667,395.4,10690.92222,96.77778,1.0,1.99259,716.58889,6204.26667,44.66667,268.22222,1276.28889,7.0,1.0,6.33333,4.88889,16.32222,72.55556,APP.15D_5
1519.08889,645.11111,217.32222,410.84444,10556.58889,172.77778,1.11111,3.1037,730.14444,5884.15556,44.66667,292.88889,1397.17778,3.55556,1.0,13.33333,4.88889,20.1,66.44444,APP.15D_6
1390.53333,565.44444,223.87778,349.06667,9609.58889,168.66667,1.11111,1.0,586.81111,5454.04444,41.0,245.33333,1121.51111,3.11111,2.66667,8.66667,11.44444,8.62222,66.88889,APP.15D_7
1434.86667,593.55556,219.54444,403.28889,9964.47778,267.33333,1.0,2.98519,647.81111,5218.04444,46.33333,253.33333,1241.51111,4.11111,1.77778,13.44444,8.55556,14.76667,56.33333,APP.15D_8
1484.86667,641.22222,220.43333,452.28889,9999.47778,135.88889,1.0,3.1037,564.36667,4961.26667,48.11111,216.0,1090.4,4.22222,2.66667,12.55556,4.66667,12.15185,55.77778,APP.15D_9
1094.52222,195.66667,176.1,90.38519,5555.7,260.88889,1.11111,4.33333,92.5,5525.4,17.55556,156.66667,208.0,5.66667,1.68889,5.66667,5.77778,5.72593,90.33333,APP.15y_0
988.52222,182.55556,154.43333,105.82222,5249.7,152.0,1.11111,2.11111,80.83333,5048.17778,12.77778,132.0,193.11111,5.0,4.15556,2.11111,1.88889,7.93333,76.66667,APP.15y_1
1045.3,190.88889,149.54444,85.15556,5230.81111,361.66667,1.0,5.44444,85.27778,4806.84444,16.11111,131.55556,185.22222,3.77778,1.0,6.44444,7.66667,9.39259,80.44444,APP.15y_2
910.74444,159.44444,137.1,62.16296,4802.92222,240.22222,1.0,1.0,76.72222,4481.62222,15.33333,155.0,164.44444,5.22222,1.0,3.66667,2.88889,7.32963,75.0,APP.15y_3
961.52222,183.66667,161.54444,61.94074,5020.25556,63.88889,1.0,2.11111,82.94444,4298.17778,20.0,125.88889,194.77778,5.55556,2.57778,2.88889,2.77778,9.32963,74.22222,APP.15y_4
744.41111,141.33333,121.32222,69.71852,3990.7,90.66667,1.0,3.22222,69.38889,4114.51111,15.11111,121.44444,152.44444,3.44444,1.68889,7.88889,5.55556,4.93333,60.77778,APP.15y_5
758.07778,125.22222,118.98889,77.72593,4006.36667,119.33333,1.0,1.0,61.5,3883.62222,12.88889,107.55556,137.55556,3.33333,1.0,3.55556,1.0,4.93333,62.33333,APP.15y_6
785.52222,141.33333,122.98889,56.94815,4099.81111,51.77778,1.0,5.44444,69.05556,3752.73333,13.33333,108.66667,169.22222,3.22222,1.0,5.55556,2.77778,11.28148,65.0,APP.15y_7
815.41111,138.11111,123.76667,87.6,4153.25556,111.44444,1.0,3.22222,66.83333,3522.17778,13.33333,113.77778,168.66667,4.33333,1.68889,3.66667,4.77778,9.61481,75.33333,APP.15y_8
810.07778,143.33333,124.32222,95.60741,4421.03333,60.0,1.0,4.33333,76.94444,3270.17778,15.33333,121.44444,147.11111,3.77778,1.0,5.77778,3.66667,11.78889,69.88889,APP.15y_9
2160.58889,370.33333,194.96667,158.37778,9826.27778,429.22222,1.0,5.2,106.43333,5549.53333,7.77778,101.44444,176.55556,8.55556,1.0,9.22222,10.93333,5.71111,56.26667,APP.16_0
2054.7,338.0,230.07778,145.48889,9220.38889,320.33333,1.10741,3.05926,95.1,5135.08889,7.55556,95.44444,152.11111,8.33333,1.0,11.88889,9.28889,4.60741,48.48889,APP.16_1
1969.92222,318.88889,193.63333,135.15556,9132.05556,219.77778,1.0,4.17037,97.98889,4888.75556,8.11111,97.77778,170.0,5.88889,1.0,8.55556,22.88889,3.14074,49.48889,APP.16_2
2003.81111,348.11111,195.74444,106.82222,9006.05556,252.77778,1.0,1.0,104.1,4626.31111,6.66667,94.33333,150.44444,6.33333,1.0,12.0,3.64444,6.94815,55.37778,APP.16_3
1947.92222,303.88889,161.85556,83.71111,8647.16667,115.44444,1.0,1.0,107.1,4238.2,8.66667,88.33333,166.88889,4.66667,1.0,10.0,15.11111,5.82963,57.71111,APP.16_4
1786.36667,260.33333,237.18889,111.4963,8017.16667,102.88889,1.0,7.25926,99.65556,3918.53333,7.88889,76.0,129.11111,4.77778,1.71852,11.0,7.64444,5.61481,49.93333,APP.16_5
1788.36667,305.88889,220.96667,142.93333,7926.72222,123.11111,1.21481,3.05926,83.43333,3593.42222,8.33333,82.88889,113.22222,5.66667,1.71852,6.0,5.46667,7.16296,50.04444,APP.16_6
