Na,Mg,Al,S,K,Ti,V,Cr,Mn,Fe,Co,Cu,Zn,Sr,Cd,Sn,Ba,Hg,Pb,name
3407.83333,538.28889,359.08889,56.27037,8398.23333,130.48889,1.4,8.77778,66.05556,16079.15556,2.19259,3261.55556,29.33333,22.74444,2.55556,390.82222,62.11111,62.86667,2319.44444,108_1
3073.94444,456.62222,326.64444,45.93704,7547.45556,183.93333,1.4,4.33333,53.83333,15296.37778,2.17778,3210.33333,30.0,23.41111,1.77778,344.6,61.22222,60.64444,2314.66667,108_2
2743.05556,431.4,298.42222,64.07778,6883.67778,228.93333,1.0963,5.44444,53.72222,14771.15556,1.20741,3083.11111,26.77778,23.41111,1.0,293.71111,58.11111,60.42222,2522.77778,108_3
3154.16667,452.84444,326.42222,106.78519,7608.45556,155.51111,1.0,2.11111,52.05556,14209.04444,1.31852,2751.33333,17.11111,17.41111,1.77778,363.82222,54.33333,50.08889,1999.33333,108_4
2589.5,371.73333,315.97778,71.63333,6477.78889,167.75556,1.0963,6.55556,46.61111,13804.71111,1.42963,2992.44444,16.33333,21.52222,1.0,294.37778,54.44444,67.31111,2200.77778,108_5
3074.38889,415.17778,318.31111,88.56296,7502.78889,481.82222,1.51111,2.11111,53.05556,13505.26667,1.31111,2742.77778,20.33333,18.52222,1.77778,323.82222,53.44444,50.97778,1816.33333,108_6
2815.61111,371.84444,316.64444,57.56296,6933.12222,210.6,1.0963,3.22222,51.72222,13074.6,1.31111,2690.77778,23.77778,17.85556,1.77778,289.48889,48.44444,60.97778,1952.0,108_7
2675.05556,384.06667,312.75556,64.18889,6795.56667,191.91111,1.19259,4.33333,49.83333,12559.93333,1.41481,2674.77778,26.55556,18.74444,1.0,282.6,47.44444,65.97778,1814.77778,108_8
2675.5,435.51111,280.42222,43.38148,6505.78889,284.46667,1.0963,5.44444,50.38889,12118.93333,1.31852,2656.11111,17.88889,16.3,1.0,240.93333,31.88889,59.53333,1772.66667,108_9
1164.9,233.81111,79.44444,28.06667,2358.54444,8.77778,1.0,2.11111,26.74444,6135.56667,1.22222,1448.76667,13.76296,8.6,1.0,97.75556,8.44444,65.96667,70.02222,109_0
974.01111,187.36667,74.33333,90.93333,2060.43333,55.77778,1.11111,4.33333,26.52222,5558.23333,1.22222,1257.98889,13.17778,8.82222,1.0,81.31111,6.77778,32.96667,97.91111,109_1
1042.45556,168.03333,80.44444,29.24444,2006.65556,17.0,1.0,2.11111,25.18889,5359.34444,1.22222,1321.87778,11.73333,5.04444,1.71852,90.75556,4.66667,47.85926,90.02222,109_2
933.23333,174.25556,71.55556,35.77778,2053.21111,60.22222,1.0,4.33333,24.85556,5107.45556,1.11111,1154.87778,7.9037,5.71111,1.0,74.97778,12.44444,29.3,90.68889,109_3
876.9,135.81111,72.33333,44.75556,1824.32222,66.22222,1.0,6.55556,21.63333,5018.12222,1.11111,1073.98889,9.23704,6.04444,1.0,70.64444,3.77778,22.3037,98.68889,109_4
846.23333,153.03333,100.55556,58.95556,1860.87778,45.66667,1.11111,4.33333,22.85556,4903.01111,1.33333,1152.32222,15.68148,7.15556,1.0,68.86667,6.66667,15.85926,114.68889,109_5
889.34444,148.03333,70.33333,31.93333,1780.1,175.22222,1.11111,5.44444,20.3,4771.67778,1.0,1186.98889,14.17778,6.72593,1.0,81.42222,9.44444,31.96667,99.13333,109_6
893.34444,138.03333,69.66667,25.44444,1873.21111,66.44444,1.0,1.0,20.85556,4619.45556,1.11111,1142.54444,7.42963,4.6,1.0,68.86667,2.77778,31.52593,87.68889,109_7
888.45556,127.92222,70.0,42.15556,1785.32222,216.11111,1.0,3.22222,24.74444,4520.01111,1.11111,1086.43333,6.48889,5.48889,1.0,73.75556,8.44444,29.19259,94.24444,109_8
834.67778,128.92222,76.44444,38.33333,1743.65556,29.22222,1.0,6.55556,24.3,4362.56667,1.22222,1028.43333,12.54074,3.94815,1.0,71.64444,14.22222,21.63333,105.02222,109_9
1110.48889,685.44444,181.48889,76.84444,3410.64444,698.44444,1.11111,1.0,129.78889,8490.36667,5.88889,2167.37778,45.28889,11.22222,1.0,102.33333,14.44444,64.32222,218.11111,110_0
750.93333,443.11111,148.48889,28.24444,2863.75556,708.66667,1.11111,1.0,122.45556,6475.58889,2.0,1877.6,41.62222,7.88889,1.0,66.66667,1.88889,54.43333,124.77778,110_1
729.48889,364.55556,149.37778,26.82222,2152.42222,275.33333,1.0,3.1037,88.34444,5478.58889,1.77778,1587.26667,32.06667,7.33333,1.0,47.44444,1.0,50.43333,158.55556,110_2
482.6,457.33333,133.71111,32.22222,1744.86667,193.22222,1.0,1.99259,84.34444,4755.03333,2.66667,1743.26667,28.54074,4.55556,1.0,9.11111,2.77778,24.65556,50.77778,110_3
503.26667,682.55556,135.15556,31.93333,1805.97778,297.88889,1.11111,4.0963,86.12222,4566.03333,4.11111,1685.15556,37.06667,5.55556,1.0,17.0,4.66667,19.57037,54.77778,110_4
464.15556,382.55556,142.48889,53.51111,1573.64444,263.0,1.0,1.0,69.34444,4398.25556,2.55556,1464.71111,116.51111,3.77778,1.0,18.66667,11.33333,23.98889,45.66667,110_5
471.37778,475.55556,145.26667,48.4,1664.64444,205.55556,1.0,5.08889,75.34444,4241.25556,1.55556,1585.04444,39.01481,3.77778,1.0,9.55556,6.44444,19.57037,42.33333,110_6
530.82222,381.66667,137.48889,29.66667,1713.08889,277.33333,1.0,7.19259,90.67778,4178.03333,1.0,1627.37778,55.76296,6.0,1.0,22.66667,4.66667,23.43333,50.44444,110_7
471.04444,322.0,152.15556,40.84444,1668.86667,261.11111,1.11111,1.0,66.67778,4067.92222,2.0,1550.71111,28.28889,5.11111,1.0,19.44444,11.44444,15.45926,45.22222,110_8
453.15556,353.22222,103.04444,26.82222,1546.64444,228.11111,1.0,3.1037,75.12222,3962.7,3.33333,1430.15556,34.73333,4.77778,1.0,15.22222,8.66667,24.76667,47.0,110_9
1178.64444,1093.24444,165.36667,38.6037,6807.31111,147.77778,1.0,5.44444,291.95556,17799.46667,21.48889,3984.16667,368.44444,28.44444,1.0,778.77778,43.66667,114.73333,382.04444,111_0
806.42222,892.24444,252.03333,25.31111,3859.64444,328.77778,1.1037,3.22222,212.62222,14384.57778,10.48889,2709.61111,181.66667,24.88889,1.0,379.33333,48.55556,96.84444,331.82222,111_1
636.08889,764.13333,155.03333,53.93704,3284.53333,1087.22222,1.0,2.11111,163.62222,12047.57778,6.26667,2311.83333,111.33333,18.55556,1.0,341.44444,21.22222,77.84444,224.6,111_2
471.31111,709.35556,129.25556,59.67407,2364.42222,735.55556,1.41481,1.0,157.73333,9569.91111,4.82222,2098.61111,118.0,17.77778,1.0,236.0,20.0,79.06667,232.04444,111_3
444.42222,438.02222,111.03333,77.78519,1990.86667,1025.55556,1.1037,3.22222,128.06667,8168.57778,4.93333,1794.61111,96.77778,16.33333,1.0,201.22222,44.66667,55.84444,181.48889,111_4
314.31111,456.02222,97.58889,54.15926,1411.53333,708.77778,1.1037,4.33333,109.51111,7130.02222,5.39259,1215.61111,71.33333,11.22222,1.77778,117.22222,17.33333,53.61481,270.37778,111_5
389.42222,286.46667,84.25556,67.67407,1253.86667,663.66667,1.0,6.55556,82.73333,5907.24444,3.84444,1069.16667,53.33333,9.55556,1.0,112.55556,18.11111,36.17778,203.6,111_6
320.97778,188.46667,84.7,54.15926,939.75556,602.22222,1.0,4.33333,44.17778,4900.35556,1.52593,881.61111,47.11111,4.44444,1.0,68.11111,15.22222,16.16296,92.26667,111_7
305.64444,293.46667,155.58889,53.42222,994.53333,333.0,1.1037,3.22222,51.62222,4402.02222,2.39259,831.83333,41.88889,4.11111,1.0,65.44444,5.66667,19.4963,130.37778,111_8
327.2,336.91111,108.92222,29.68519,988.86667,562.88889,1.0,3.22222,58.06667,4218.46667,4.4963,893.94444,47.88889,4.44444,1.0,60.77778,13.33333,15.04444,69.6,111_9
994.81111,543.11111,239.03333,73.78519,2683.72222,88.66667,1.0,1.0,166.64444,16050.8,4.11111,74.0,16.88889,21.77778,1.0,55.55556,9.33333,154.18889,1013.11111,112_0
1169.25556,368.44444,286.81111,72.63333,2272.83333,193.0,1.0,1.0,156.08889,13754.8,5.55556,58.33333,19.88889,17.22222,1.0,34.22222,10.33333,116.96667,990.0,112_1
962.58889,394.77778,266.7,46.71481,2187.83333,43.77778,1.11111,5.2963,137.53333,12347.02222,4.44444,54.55556,12.88889,11.11111,1.0,31.33333,14.33333,86.85556,694.11111,112_2
856.47778,454.33333,288.14444,107.34074,2024.16667,57.77778,1.0,1.0,135.53333,11296.91111,3.55556,69.88889,15.55556,15.88889,1.0,46.44444,7.44444,71.3,517.88889,112_3
823.81111,310.77778,281.58889,59.6037,2091.94444,49.77778,1.0,1.0,143.42222,10372.91111,4.66667,41.44444,13.55556,9.0,1.0,28.66667,12.33333,75.3,456.11111,112_4
783.47778,308.77778,264.03333,100.96667,2034.16667,54.11111,1.11111,1.7963,121.08889,9328.35556,3.11111,50.44444,10.0,8.33333,1.0,36.77778,12.44444,85.18889,392.33333,112_5
629.92222,246.22222,255.81111,64.6037,1720.5,23.0,1.0,3.38889,88.75556,8347.35556,2.44444,45.0,9.66667,10.33333,1.0,23.55556,1.88889,58.63333,602.66667,112_6
685.47778,284.66667,248.7,53.08889,1752.38889,17.0,1.11111,1.7963,97.75556,7717.24444,3.0,34.0,9.11111,8.55556,1.0,11.77778,7.55556,48.52222,261.0,112_7
629.36667,265.33333,217.7,76.56296,1825.83333,63.88889,1.0,1.7963,102.2,7318.68889,2.44444,34.77778,7.88889,7.33333,1.0,19.55556,1.88889,61.18889,531.66667,112_8
641.92222,237.11111,212.47778,62.15926,1768.05556,10.88889,1.0,1.0,107.2,6846.24444,2.33333,38.88889,9.88889,8.44444,1.0,21.22222,5.66667,47.96667,478.77778,112_9
1793.8,460.33333,138.76667,11.75556,1698.04444,58.0,1.66667,1.0,88.52222,6158.2,1.33333,1290.11111,16.84444,53.22222,1.0,166.66667,47.66667,689.85556,357.0,113_0
1394.35556,429.88889,187.32222,36.3,1305.04444,141.88889,1.11111,16.77778,74.07778,5035.64444,1.22222,1015.77778,20.31852,44.55556,1.0,137.0,34.88889,663.63333,214.33333,113_1
1426.57778,418.88889,126.32222,67.3,1511.93333,104.66667,1.11111,5.44444,74.63333,4479.64444,1.44444,1011.11111,19.62222,46.66667,1.0,149.11111,34.77778,654.3,228.88889,113_2
1289.13333,316.77778,93.65556,63.37778,1289.48889,217.88889,1.55556,6.55556,79.18889,4044.2,1.22222,778.44444,8.79259,26.88889,1.0,389.66667,30.88889,519.85556,162.33333,113_3
1206.68889,302.66667,86.1,51.5,1095.15556,84.55556,1.0,9.88889,81.96667,3593.31111,1.22222,794.11111,15.62222,24.55556,1.0,250.11111,20.22222,509.74444,141.0,113_4
1326.57778,312.88889,114.65556,21.97778,1155.48889,113.22222,1.0,3.22222,72.52222,3236.75556,1.22222,739.33333,14.98519,23.55556,1.0,123.77778,15.22222,485.3,142.77778,113_5
926.57778,222.11111,85.98889,36.23333,828.82222,119.22222,1.0,2.11111,54.18889,2942.86667,1.22222,601.11111,7.45926,19.33333,1.71852,318.33333,25.0,436.18889,108.33333,113_6
1070.8,243.33333,85.1,25.72222,1048.37778,199.66667,1.0,6.66667,62.63333,2780.53333,1.0,641.22222,9.9037,21.66667,2.43704,139.88889,22.0,446.52222,133.77778,113_7
1068.57778,259.22222,79.76667,29.82222,930.71111,82.44444,1.0,11.22222,56.41111,2617.97778,1.22222,616.0,8.98519,20.0,2.60741,300.22222,13.44444,399.07778,94.33333,113_8
1275.68889,282.44444,91.98889,21.97778,1094.71111,115.33333,1.11111,1.0,58.41111,2492.2,1.22222,577.77778,21.17778,16.44444,1.71852,521.66667,14.33333,422.07778,107.55556,113_9
2603.94444,369.35556,103.23333,163.7037,3047.06667,144.0,1.11111,1.94815,97.88889,9094.45556,2.93333,2229.43333,56.36667,18.63333,1.0,53.85556,12.73333,1.0,107.06667,114_0
1714.61111,239.24444,70.45556,64.33333,1912.28889,47.66667,1.0,3.05926,78.44444,6581.34444,1.74074,1448.65556,27.81111,10.18889,1.0,13.41852,16.83333,1.0,75.28889,114_1
