Na_a,Mg_a,Al_a,S_a,K_a,Ti_a,V_a,Cr_a,Mn_a,Fe_a,Co_a,Cu_a,Zn_a,Sr_a,Cd_a,Sn_a,Ba_a,Hg_a,Pb_a,name_a,Na_i,Mg_i,Al_i,S_i,K_i,Ti_i,V_i,Cr_i,Mn_i,Fe_i,Co_i,Cu_i,Zn_i,Sr_i,Cd_i,Sn_i,Ba_i,Hg_i,Pb_i,name_i
85396.37778,7248.75556,14863.77778,7593.26667,285944.8,51.44444,7.66667,11.0,2506.16667,165139.43333,76.88889,1524.11111,2472.77778,854.44444,255.8,86.77778,56.33333,315.6,351.22222,102vC.a_4,6782.02222,374.85556,523.2,288.94074,7951.52222,14.88889,1.0,4.33333,71.9,6089.97778,7.22222,58.33333,116.77778,6.77778,12.31111,4.88889,1.0,19.51111,12.55556,102vC.i_4
91772.71111,6679.31111,15909.55556,4828.26667,268675.24444,71.88889,6.33333,4.33333,2437.16667,163461.98889,80.22222,1466.11111,2515.88889,793.11111,248.8,66.55556,65.22222,334.6,441.66667,102vC.a_5,6078.57778,343.41111,516.2,261.21111,7461.3,129.77778,1.0,1.0,81.23333,5968.97778,6.0,63.55556,112.66667,6.77778,7.51852,7.22222,1.0,24.73333,13.66667,102vC.i_5
86053.6,7000.42222,15163.77778,5493.82222,218562.02222,55.55556,4.66667,7.66667,2403.38889,161931.32222,79.0,1433.22222,2711.33333,932.22222,227.24444,62.88889,64.22222,3621.6,364.77778,102vC.a_6,6608.35556,333.3,549.97778,256.89259,7790.3,21.33333,1.0,2.11111,74.67778,5837.75556,7.44444,68.77778,117.11111,7.11111,11.07407,1.33333,2.88889,36.51111,13.55556,102vC.i_6
91499.6,7278.97778,15860.66667,7731.37778,332289.02222,51.66667,5.77778,3.22222,2737.38889,161061.54444,70.77778,1520.22222,2575.88889,957.22222,274.68889,77.0,58.44444,373.37778,464.66667,102vC.a_7,6625.46667,439.52222,534.08889,361.05185,8024.96667,31.0,1.11111,1.0,75.9,5727.75556,7.0,66.88889,108.44444,8.0,6.85185,3.55556,2.88889,36.84444,10.88889,102vC.i_7
85379.6,6674.2,14810.44444,6216.15556,248332.02222,37.0,3.77778,4.33333,2636.16667,158729.21111,69.11111,1536.11111,2482.22222,814.55556,266.02222,57.77778,49.66667,311.6,426.22222,102vC.a_8,6330.8,327.52222,506.31111,312.05185,7392.85556,80.33333,1.11111,1.0,74.01111,5591.42222,6.55556,54.22222,119.0,7.11111,11.42222,8.22222,1.0,31.73333,10.11111,102vC.i_8
89959.04444,7551.31111,16119.77778,6128.6,268642.91111,57.44444,5.0,3.22222,2518.27778,157498.32222,76.66667,1436.0,2483.0,758.55556,255.8,55.11111,48.66667,309.71111,393.66667,102vC.a_9,5210.91111,272.96667,502.97778,196.87778,6349.07778,21.11111,1.0,3.22222,74.78889,5533.53333,5.22222,75.0,108.88889,12.11111,10.75556,3.88889,1.88889,36.84444,11.66667,102vC.i_9
107945.38889,8240.93333,15529.77778,4006.91111,220521.73333,129.44444,7.0,5.44444,2504.65556,206792.97778,98.55556,872.77778,1850.44444,781.33333,234.51111,32.73333,59.33333,11336.46667,448.22222,102vD.a_0,4232.57778,463.43333,1108.04444,81.8,6153.8,68.0,1.0,1.0,142.93333,9829.11111,6.22222,73.11111,138.22222,28.11111,12.56296,3.22222,1.0,1.0,18.11111,102vD.i_0
100535.05556,7523.48889,13301.77778,4122.46667,159189.62222,39.33333,4.77778,9.88889,2251.21111,198551.08889,98.44444,848.88889,1812.88889,761.44444,226.73333,43.51111,49.66667,10678.8,411.44444,102vD.a_1,4265.02222,492.54444,994.82222,107.57778,5487.91111,27.0,1.0,2.11111,144.37778,9267.33333,5.0,68.66667,137.0,25.77778,15.11852,5.11111,1.0,1.0,26.44444,102vD.i_1
95406.94444,7082.71111,12455.55556,3688.24444,161172.95556,37.22222,4.77778,8.77778,2094.87778,194316.2,92.66667,826.33333,1807.44444,820.22222,248.28889,33.62222,33.88889,9506.35556,371.88889,102vD.a_2,4015.8,449.32222,981.37778,226.72963,5840.8,37.44444,1.0,4.33333,124.71111,8984.0,5.11111,69.11111,128.22222,25.66667,11.24444,2.11111,1.0,1.0,20.0,102vD.i_2
100968.83333,7533.15556,13581.33333,3797.13333,151048.84444,49.44444,5.66667,3.22222,2272.76667,189905.08889,108.0,764.66667,2448.0,756.88889,277.95556,50.17778,51.55556,9011.68889,378.11111,102vD.a_3,4393.13333,485.65556,1004.6,75.38519,6539.35556,21.22222,1.11111,1.0,129.82222,8658.66667,6.44444,63.33333,133.55556,25.55556,13.75556,2.88889,1.0,1.0,19.88889,102vD.i_3
90287.27778,6563.04444,11806.33333,2772.24444,127079.17778,37.0,5.11111,2.11111,2014.98889,188209.53333,92.44444,767.66667,2003.22222,682.22222,238.06667,31.51111,27.0,8452.46667,366.33333,102vD.a_4,4431.24444,450.32222,913.15556,194.36667,5808.68889,29.22222,1.0,1.0,119.6,8417.11111,3.0,70.22222,112.77778,22.11111,16.8963,4.11111,1.0,1.0,22.77778,102vD.i_4
93587.72222,6721.04444,11436.55556,3799.35556,174369.84444,27.11111,4.44444,5.44444,2082.98889,186087.31111,83.0,776.33333,1839.33333,710.55556,239.73333,27.73333,32.88889,9084.57778,400.11111,102vD.a_5,4335.02222,456.32222,942.26667,104.91111,6556.46667,53.55556,1.11111,1.0,113.37778,8217.88889,5.22222,64.88889,125.55556,24.77778,16.32593,2.11111,1.88889,1.0,23.55556,102vD.i_5
90000.16667,6686.82222,11843.88889,2583.57778,137428.06667,30.77778,5.33333,4.33333,1955.32222,182961.42222,87.88889,743.33333,1980.66667,606.77778,248.4,35.31852,29.0,5787.02222,362.88889,102vD.a_6,4375.68889,492.65556,809.15556,173.21481,5534.68889,35.22222,1.0,3.22222,119.48889,8097.11111,5.11111,68.66667,134.44444,18.44444,10.54815,1.66667,1.88889,1.0,24.55556,102vD.i_6
88752.05556,6726.48889,10960.44444,3451.13333,132311.95556,59.77778,6.44444,11.11111,1976.21111,180930.53333,76.0,783.55556,1755.44444,602.77778,191.17778,24.65185,32.88889,9445.68889,390.33333,102vD.a_7,3875.02222,421.1,983.6,91.42593,5532.91111,39.11111,1.0,3.22222,103.6,7955.44444,4.88889,60.77778,121.0,20.55556,14.57778,1.77778,1.88889,1.0,15.88889,102vD.i_7
90185.5,6997.26667,13745.33333,2284.24444,134374.51111,80.33333,7.0,4.33333,2242.32222,178082.64444,83.66667,713.88889,1855.66667,696.77778,247.62222,31.4,48.77778,8398.57778,369.44444,102vD.a_8,4335.91111,459.65556,850.6,94.09259,5369.46667,29.22222,1.0,1.0,113.71111,7761.33333,4.55556,66.44444,137.77778,19.11111,10.8963,1.66667,1.88889,1.0,17.33333,102vD.i_8
92178.72222,6990.37778,12260.11111,3963.02222,194731.06667,43.22222,5.33333,6.55556,2078.76667,174677.31111,85.44444,694.66667,1805.33333,719.22222,238.17778,26.87407,44.55556,6271.13333,324.77778,102vD.a_9,3769.46667,386.76667,813.93333,106.98148,5615.8,27.11111,1.0,1.0,106.04444,7425.44444,3.66667,52.77778,102.44444,22.66667,8.81481,2.33333,1.0,1.0,16.11111,102vD.i_9
112296.63333,51482.77778,21564.98889,1352.24444,371784.26667,1481.22222,60.33333,63.01111,7608.21111,555123.36667,345.04444,117574.11111,5435.52222,1874.0,12.66667,17256.53333,2834.77778,2344.25556,114852.42222,108.a_0,3422.61111,520.17778,490.53333,87.3,8577.34444,235.02222,1.59259,11.0,60.72222,16667.48889,1.42963,3284.88889,24.66667,24.18889,1.0,395.6,62.11111,88.64444,2414.44444,108.i_0
107302.74444,49554.88889,19697.87778,1334.24444,333364.82222,1452.44444,61.55556,57.55185,7426.98889,506575.81111,317.26667,104891.88889,4958.07778,1864.11111,20.0,19358.08889,2949.88889,2329.25556,116657.42222,108.a_1,3407.83333,538.28889,359.08889,56.27037,8398.23333,130.48889,1.4,8.77778,66.05556,16079.15556,2.19259,3261.55556,29.33333,22.74444,2.55556,390.82222,62.11111,62.86667,2319.44444,108.i_1
101170.85556,52105.55556,16806.21111,1349.8,316527.26667,1475.11111,52.33333,52.45556,7319.98889,473226.36667,267.82222,96386.0,4908.85556,1815.22222,10.11111,14663.31111,2819.0,2338.7,114532.31111,108.a_2,3073.94444,456.62222,326.64444,45.93704,7547.45556,183.93333,1.4,4.33333,53.83333,15296.37778,2.17778,3210.33333,30.0,23.41111,1.77778,344.6,61.22222,60.64444,2314.66667,108.i_2
102545.52222,50299.88889,17831.87778,1421.91111,317496.93333,1491.44444,56.33333,61.56667,7459.1,449288.03333,395.6,90805.55556,4076.74444,1780.11111,11.77778,18954.08889,2956.0,2496.92222,128639.08889,108.a_3,2743.05556,431.4,298.42222,64.07778,6883.67778,228.93333,1.0963,5.44444,53.72222,14771.15556,1.20741,3083.11111,26.77778,23.41111,1.0,293.71111,58.11111,60.42222,2522.77778,108.i_3
99935.85556,44998.22222,17282.65556,1200.13333,312924.93333,1557.33333,52.44444,86.12222,6689.76667,428743.47778,345.37778,87060.44444,4080.3,1647.22222,10.88889,17766.2,2723.88889,2425.47778,118467.97778,108.a_4,3154.16667,452.84444,326.42222,106.78519,7608.45556,155.51111,1.0,2.11111,52.05556,14209.04444,1.31852,2751.33333,17.11111,17.41111,1.77778,363.82222,54.33333,50.08889,1999.33333,108.i_4
95786.07778,46971.66667,18430.98889,1133.24444,310036.82222,1555.33333,53.66667,81.45556,7054.32222,418381.14444,289.93333,86278.77778,4742.52222,1691.66667,9.11111,17666.31111,3131.66667,2444.7,120473.97778,108.a_5,2589.5,371.73333,315.97778,71.63333,6477.78889,167.75556,1.0963,6.55556,46.61111,13804.71111,1.42963,2992.44444,16.33333,21.52222,1.0,294.37778,54.44444,67.31111,2200.77778,108.i_5
88935.85556,42877.77778,17735.21111,1174.57778,294623.26667,1540.88889,46.55556,73.34444,6211.76667,404523.25556,302.93333,86839.77778,4025.07778,1557.88889,6.77778,16378.97778,2840.88889,2246.47778,108191.2,108.a_6,3074.38889,415.17778,318.31111,88.56296,7502.78889,481.82222,1.51111,2.11111,53.05556,13505.26667,1.31111,2742.77778,20.33333,18.52222,1.77778,323.82222,53.44444,50.97778,1816.33333,108.i_6
88375.74444,39345.11111,14996.98889,1153.91111,302731.04444,1631.55556,42.11111,81.56667,5837.87778,396186.14444,240.71111,78780.0,3769.07778,1534.22222,9.22222,19156.64444,3010.55556,2298.58889,112792.31111,108.a_7,2815.61111,371.84444,316.64444,57.56296,6933.12222,210.6,1.0963,3.22222,51.72222,13074.6,1.31111,2690.77778,23.77778,17.85556,1.77778,289.48889,48.44444,60.97778,1952.0,108.i_7
88790.07778,37212.22222,13730.1,1187.35556,291066.04444,1323.11111,41.77778,64.28148,5711.76667,385462.25556,236.04444,74917.11111,4294.07778,1474.22222,15.77778,16418.97778,2660.88889,2352.47778,103877.86667,108.a_8,2675.05556,384.06667,312.75556,64.18889,6795.56667,191.91111,1.19259,4.33333,49.83333,12559.93333,1.41481,2674.77778,26.55556,18.74444,1.0,282.6,47.44444,65.97778,1814.77778,108.i_8
82118.63333,37281.66667,14293.43333,988.68889,265247.37778,1285.88889,36.77778,50.01111,5493.54444,370190.7,264.6,73810.88889,4770.07778,1450.22222,12.55556,12390.64444,2392.77778,2449.47778,92708.2,108.a_9,2675.5,435.51111,280.42222,43.38148,6505.78889,284.46667,1.0963,5.44444,50.38889,12118.93333,1.31852,2656.11111,17.88889,16.3,1.0,240.93333,31.88889,59.53333,1772.66667,108.i_9
108320.14444,43632.44444,8730.35556,914.07778,294059.94444,534.11111,33.88889,144.93333,7675.46667,657079.56667,321.23333,141396.66667,4682.55556,1604.44444,25.11111,21982.22222,1687.22222,7996.38889,15231.11111,109.a_0,1164.9,233.81111,79.44444,28.06667,2358.54444,8.77778,1.0,2.11111,26.74444,6135.56667,1.22222,1448.76667,13.76296,8.6,1.0,97.75556,8.44444,65.96667,70.02222,109.i_0
103862.14444,41441.88889,8087.13333,1078.96667,282702.72222,454.0,30.22222,139.15556,7206.46667,632098.78889,324.34444,134740.22222,4171.22222,1482.88889,31.11111,20737.77778,1823.0,8118.27778,15397.55556,109.a_1,974.01111,187.36667,74.33333,90.93333,2060.43333,55.77778,1.11111,4.33333,26.52222,5558.23333,1.22222,1257.98889,13.17778,8.82222,1.0,81.31111,6.77778,32.96667,97.91111,109.i_1
106299.58889,50130.77778,8541.8,1200.3,286636.05556,534.11111,29.77778,104.15556,8362.24444,616063.45556,319.34444,129195.66667,4599.77778,1540.0,22.77778,19827.66667,1618.77778,6796.05556,17758.33333,109.a_2,1042.45556,168.03333,80.44444,29.24444,2006.65556,17.0,1.0,2.11111,25.18889,5359.34444,1.22222,1321.87778,11.73333,5.04444,1.71852,90.75556,4.66667,47.85926,90.02222,109.i_2
107950.81111,45707.55556,8433.91111,1192.3,281778.16667,448.0,31.44444,105.37778,7942.13333,589926.45556,311.56667,126947.77778,4916.44444,1456.11111,15.0,19331.88889,1456.11111,6775.5,15466.44444,109.a_3,933.23333,174.25556,71.55556,35.77778,2053.21111,60.22222,1.0,4.33333,24.85556,5107.45556,1.11111,1154.87778,7.9037,5.71111,1.0,74.97778,12.44444,29.3,90.68889,109.i_3
