Na,Mg,Al,S,K,Ti,V,Cr,Mn,Fe,Co,Cu,Zn,Sr,Cd,Sn,Ba,Hg,Pb,name
428.93333,41.11111,47.41111,134.22963,7143.13333,26.88889,1.0,3.54815,15.71111,3869.52222,1.11111,215.8,1.27778,2.88889,1.0,4.22222,2.88889,1.2,10.97778,2FeCuK_3
384.6,20.11111,44.07778,121.34074,6798.35556,37.55556,1.19259,1.71852,11.26667,3701.74444,1.0,180.91111,1.27778,1.88889,1.0,4.11111,1.88889,1.4,11.64444,2FeCuK_4
376.6,27.33333,35.52222,146.07778,6469.68889,22.88889,1.0963,10.86667,13.93333,3576.07778,1.0,147.57778,1.0,3.44444,1.0,3.33333,3.66667,1.2,10.65926,2FeCuK_5
395.15556,21.11111,41.63333,123.8963,6854.46667,20.77778,1.0963,2.43704,14.15556,3487.3,1.0,179.46667,1.27778,2.55556,1.0,1.0,3.77778,1.84444,13.31111,2FeCuK_6
434.71111,38.33333,41.18889,89.97778,7410.02222,37.0,1.0,9.14815,15.37778,3350.52222,1.0,246.68889,1.27778,1.88889,1.77778,2.44444,3.77778,1.2,10.21481,2FeCuK_7
403.04444,28.11111,37.74444,99.27037,6237.24444,41.22222,1.0,5.88148,14.15556,3240.3,1.0,205.57778,2.22222,2.44444,1.77778,5.55556,3.77778,1.0,10.88148,2FeCuK_8
409.15556,33.0,40.85556,93.11852,6760.8,16.88889,1.0,1.71852,16.37778,3114.52222,1.0,170.35556,1.27778,2.0,1.0,3.33333,1.88889,1.64444,11.75556,2FeCuK_9
552.93333,707.66667,19.32222,1467.27778,844.81111,5.94815,1.0,3.86667,95.37778,53429.25556,4.37778,5086.22222,1.33333,5.55556,1.0,1.77778,1.88889,1.50741,17.6,FeCu_0
554.48889,719.77778,18.87778,1310.05556,798.7,4.52963,1.0,1.87778,90.93333,49188.14444,2.05926,4561.33333,1.0,5.44444,1.0,3.66667,1.0,1.50741,9.64444,FeCu_1
526.26667,576.44444,15.21111,1199.16667,750.47778,1.0,1.1037,6.73333,88.37778,46242.92222,1.74074,4413.88889,1.66667,3.22222,1.0,3.22222,1.0,1.63333,15.26667,FeCu_2
527.82222,599.66667,19.43333,1129.61111,757.03333,26.75926,1.0,3.86667,87.6,44528.81111,1.41481,4264.66667,1.33333,4.55556,3.44444,2.11111,5.77778,1.12593,11.2,FeCu_3
493.04444,617.66667,19.65556,1173.38889,685.58889,12.31481,1.0,2.98889,91.48889,42692.47778,2.72593,4164.77778,1.0,3.44444,1.0,3.55556,4.66667,2.64815,9.82222,FeCu_4
499.93333,583.33333,18.32222,1276.61111,676.7,17.7,1.0,2.75556,79.6,41827.25556,2.84444,4061.77778,1.33333,4.55556,1.0,2.88889,3.77778,1.57037,9.6,FeCu_5
493.82222,579.44444,17.98889,982.27778,690.92222,15.58889,1.0,2.75556,77.04444,40440.58889,1.74815,3968.66667,2.0,2.44444,1.0,3.22222,2.77778,2.07778,9.2,FeCu_6
520.04444,523.88889,21.76667,1008.27778,678.7,13.58889,1.0,9.83333,78.93333,39412.58889,2.39259,3896.77778,1.33333,4.66667,1.0,4.44444,3.77778,1.50741,10.31111,FeCu_7
479.6,580.44444,19.65556,1013.61111,656.36667,47.31481,1.0,4.97778,74.37778,38363.25556,1.84444,3676.33333,2.0,3.33333,1.0,3.33333,1.0,1.57037,9.71111,FeCu_8
466.26667,480.44444,15.98889,1008.38889,646.47778,8.64074,1.0,1.87778,75.15556,36597.81111,2.06667,3623.77778,1.66667,3.22222,1.0,3.66667,1.88889,1.57037,8.2,FeCu_9
126.07778,63.55556,227.03333,72.80741,200.35556,16.3,1.0,5.28148,6.71111,2030.86667,1.0,139.88889,158.88889,2.71852,1.77778,4.92593,1.0,4.77778,5.73333,FeCuZnAl_0
