Al,S,Cr,Mn,Co,Cu,Zn,Pb,Mg,name
-1.7431991647312068,-1.0908505180057595,-6.411018966272121,-4.255504788707321,-9.484178813109114,-5.443150679502914,-6.631137003985109,-4.782695904111026,12.128088398721616,193_7
-1.7135511594462167,-0.9941162367684142,-6.177590955623453,-4.261737296921583,-9.230242805144666,-5.435450151739813,-6.578166115960879,-4.813259691755665,12.127434117010486,193_8
-1.656691578909665,-0.9281286591146313,-7.106523012443697,-4.18236140525783,-9.242467037064145,-5.375901714038038,-6.551395183905315,-4.733373080059428,12.02982341741404,193_9
-0.5039271863459146,0.8133615121267433,-2.0861010466170535,-3.535003626258159,-6.200610588778338,-3.860087961321996,-5.396237773108169,-3.6040661665981295,8.361474565002933,194_0
-0.17629341651626534,1.330619082569971,-1.683784725477581,-4.4431290711707865,-6.094560004206383,-3.5341510155601927,-4.419358365622645,-3.7115910309755487,8.011023233201028,194_1
0.032114910542464,1.2598441224202208,-1.276757665683703,-4.003992403633981,-5.93599587294175,-3.4003608195369517,-4.193353636069978,-3.1773417742906505,7.939158700309731,194_2
0.35973534895650217,1.526538830353975,-1.470176614331658,-4.055326889472006,-5.88095189306046,-3.50253769562527,-4.671113969282126,-2.7645326069446994,8.314097281497448,194_3
0.4311659461753409,1.2661877228161529,-1.7664423508991756,-3.9277669836428726,-5.88095189306046,-3.2436421968100264,-4.5657544536248,-2.8742916588782768,8.409162373673118,194_4
0.026251442623156162,0.7867862339730349,-1.170142442644395,-3.769979341681211,-5.809176326258378,-3.7035532809367524,-4.284257626110456,-3.23860850844226,8.000014056777701,194_5
0.5944980994901057,1.418975527013538,-0.9230468363711631,-3.8250116284385163,-5.642439844415649,-3.365479299060076,-4.337289831741995,-2.8644476791856635,8.101677647454567,194_6
0.23084580711268918,1.734097768433069,-2.7874089210633213,-2.5131495311059,-5.731847900229761,-3.311282635456379,-4.927475084559592,-2.748662679428209,7.660585254449349,194_7
0.7665539478154049,1.722214956468135,-1.4796440610944024,-3.778787151170431,-5.488794087598361,-3.4581480847952752,-4.789780787585517,-2.813929107874169,8.264363273074443,194_8
0.6173161156011898,1.429328296187515,-0.7525941392034905,-3.702716083034017,-5.594153603255687,-3.066914819781782,-4.502097465134518,-2.8061995075328303,8.184792592815382,194_9
-0.6777833695509886,-0.8104415652196901,-5.943090449046684,-3.1812540908650724,-6.046668072063936,-5.196229865922514,-4.141528416453254,-4.832606302512326,12.251089030228451,197_0
-0.6578585575991651,-0.5991135236277023,-5.911643042288072,-3.095815091125845,-6.013541420535929,-5.047151038000745,-4.049352807468296,-4.899635216454829,12.152534729178331,197_1
