Na,Mg,Al,S,K,Ti,V,Cr,Mn,Fe,Co,Cu,Zn,Sr,Cd,Sn,Ba,Hg,Pb,name
909.7,296.06667,204.05556,139.53333,1980.74444,14.88889,1.0,1.0,57.91111,13802.4,31.44444,19.26667,26.11111,34.55556,1.0,3.71111,14.44444,58.67778,82.95556,221.i_5
893.36667,296.17778,215.94444,53.33333,2030.18889,10.88889,1.11111,3.05926,51.02222,13586.95556,27.44444,16.8,13.0,30.77778,1.0,7.62963,3.77778,49.9,91.95556,221.i_6
901.81111,277.95556,171.38889,70.82222,2080.07778,15.0,1.11111,1.0,50.68889,13382.06667,32.0,18.46667,15.22222,31.11111,1.0,5.74074,4.66667,43.9,76.62222,221.i_7
849.7,234.4,160.61111,72.95556,2038.41111,6.88889,1.11111,3.14074,53.46667,13213.84444,25.88889,16.04444,3.33333,32.11111,1.0,3.40741,6.55556,36.9,76.95556,221.i_8
781.03333,273.84444,187.27778,90.64444,1889.07778,19.11111,1.0,4.17037,55.8,13098.84444,31.55556,21.71111,16.0,32.11111,1.0,5.85185,5.77778,46.9,40.28889,221.i_9
794.36667,552.11111,155.21111,41.38889,1746.93333,43.62222,1.0,2.11111,46.74444,13010.66667,32.11111,56.11111,12.55556,41.77778,1.0,11.88889,7.44444,97.91111,19.2,222.i_0
771.03333,343.44444,133.87778,21.57778,1600.15556,10.48889,1.0,2.11111,37.74444,12112.66667,24.55556,49.88889,12.44444,33.33333,1.0,11.44444,6.55556,74.8,16.64444,222.i_1
750.81111,293.77778,151.54444,50.43333,1663.71111,82.13333,1.11111,1.0,32.52222,11577.11111,25.44444,47.77778,12.77778,29.88889,1.0,7.33333,6.66667,68.02222,16.53333,222.i_2
752.81111,184.66667,132.54444,23.16667,1565.71111,29.04444,1.0,3.22222,24.41111,10926.44444,20.44444,34.44444,11.55556,25.22222,1.0,5.22222,11.33333,75.46667,14.08889,222.i_3
681.36667,148.33333,132.32222,18.91111,1487.82222,85.51111,1.0,1.0,17.74444,10411.66667,19.66667,34.55556,8.22222,22.66667,1.68889,4.11111,7.55556,61.8,9.75556,222.i_4
680.36667,43.33333,102.32222,33.61111,1504.48889,8.97778,1.0,6.66667,12.07778,10049.66667,15.22222,36.77778,7.0,20.33333,1.0,6.22222,4.77778,61.57778,11.75556,222.i_5
675.7,68.66667,112.65556,19.86667,1410.82222,22.22222,1.0,3.22222,11.26667,9776.55556,17.22222,36.55556,8.44444,21.66667,1.68889,4.88889,1.88889,50.24444,8.64444,222.i_6
674.58889,66.66667,117.87778,23.16667,1458.37778,8.73333,1.0,4.33333,13.3,9503.77778,17.44444,29.55556,8.88889,19.66667,1.0,6.55556,11.44444,63.68889,7.99259,222.i_7
632.03333,45.22222,112.54444,58.43333,1314.26667,59.22222,1.0,6.55556,11.07778,9225.22222,15.44444,26.66667,10.55556,13.0,1.0,4.0,1.88889,55.35556,9.08889,222.i_8
651.92222,88.0,113.54444,32.54444,1321.15556,42.88889,1.0,1.0,14.41111,9068.11111,15.33333,36.77778,9.33333,22.33333,1.0,4.0,9.44444,43.13333,10.53333,222.i_9
629.84444,428.11111,130.35556,50.96296,994.37778,4552.88889,1.31852,3.14074,24.22222,7971.11111,19.93333,36.46667,8.0,32.22222,1.0,17.62222,7.94444,100.72222,13.66667,223.i_0
