,C,Na,Mg,Al,Si,P,S,Cl,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Rb,Sr,Zr,Cd,Sn,Ba,La,Hg,Pb,probka,short
ML.0C.3,3.5797243920407547,0.2798630731364949,0.1411517702571171,0.084252845148079,0.1439177532534287,0.0004070443508022,0.0016936493477854,0.0009788970242658,1.3892092661879127,0.1521620172016191,0.720302844650186,2.9761211882543884e-05,0.0021417956188204,0.1590413966227209,1938.8899725589736,0.0197798105726678,0.0350145548697989,0.1519673542410124,0.2638127326416858,0.0009222121517913,0.0020017186534757,0.0531480535453739,0.0041637202651694,0.0002837909769356,0.0053113106627361,0.0063532846204439,8.333192932924014e-06,0.0076408636234535,0.0208131039899974,ML0C,ML
ML.0C.4,3.7351687951564383,0.2905830264487141,0.0995590015189973,0.0758306548784403,0.1272774594255248,0.0003481375387354,0.0020001288993041,0.0006087074500561,1.4405726262390797,0.1805966507404047,0.3947964696359536,9.200393521236649e-05,0.0022159498450501,0.166919027159765,1823.3194373026347,0.0225558583272115,0.0320849433614984,0.155962311032877,0.2837740229697046,0.0007001789482092,0.0021291915683921,0.0268179871849838,0.0019090089474028,0.0003341355187974,0.0032513644940543,0.0047538192729483,0.0,0.0081575909167117,0.0231349067573188,ML0C,ML
ML.0C.5,4.274954493129446,0.314833134701321,0.1941897311271976,0.0877646169332201,0.1401162676017824,0.0005247877673732,0.0011425469327126,0.0005575549966016,1.499290326005003,0.1362143532705595,0.7353739395058116,4.0167063178631614e-05,0.0011423320901042,0.1720820373064893,1698.6639790550282,0.0203541868464481,0.0332796416163151,0.1603538306195131,0.2751896058086549,0.0006624273854052,0.0021010054680345,0.0413687298809159,0.0041233138049903,0.0002902252854971,0.0041599592659211,0.0083709057113674,9.315198119763916e-06,0.0066762101953111,0.0219308974178514,ML0C,ML
ML.0C.6,4.671956999201256,0.3480563394476701,0.1084017066904985,0.0777442508335849,0.1277087260667452,0.0004669173969481,0.0014503049104242,0.0006835039228287,1.6798359226287023,0.2307793543719428,0.1529535654121387,5.307568666843971e-05,0.0016677818338306,0.1756296984730742,1547.4855293843762,0.0237645771510594,0.0269552266371367,0.1710551016344793,0.3049638330939836,0.0005282302738901,0.0025624407780155,0.0239453362044931,0.0008725745468167,0.000680941495328,0.0040116015539748,0.0027916589825891,0.0,0.0080967064183118,0.0204542962024114,ML0C,ML
ML.0C.7,4.246158193489411,0.365846818093552,0.1882833177022176,0.097806127883448,0.1429950074924948,0.0006259259891569,0.0010420488943105,0.0009222859517419,1.7606368371443633,0.452057020058644,0.6212472487094226,5.0496570856168216e-05,0.0009229869099207,0.1917123021137372,1383.806827637144,0.0278527724037382,0.0261546173436762,0.1769430767544509,0.3441482434771294,0.0006642824325206,0.0030970294615951,0.0450611915883296,0.0051633447592329,0.0017951948624884,0.0041021702801789,0.0102222317298354,1.694484116791465e-05,0.0085235976604499,0.0239088524345357,ML0C,ML
ML.0C.8,4.935888239964877,0.4035788621613308,0.2109884610108398,0.1094145853194142,0.2183970762842801,0.0007215095980986,0.0018086561584981,0.0014231707104818,1.973309459680056,0.1352849461951978,1.0029634982665212,3.279074249860035e-05,0.0025109729285155,0.2366186026909443,1244.3874896761993,0.033666293794835,0.0284978773229901,0.1799251413982857,0.4201878534439949,0.0005872462217487,0.0042513818293836,0.0618600009491716,0.0054597984183185,0.002245324722737,0.0040313104154933,0.0070064543005839,3.799382534307603e-05,0.0098005839895596,0.0230724536577027,ML0C,ML
ML.0C.9,4.748374221468029,0.4192779952237789,0.23828161643867,0.1744895513130309,0.3031975849747992,0.0007817311680223,0.0020120717487698,0.0015134809299541,2.0750022212601005,0.7615141215617126,1.2119124927456832,4.809027496692657e-05,0.0085140221643794,0.2623310347769621,1148.5270377984757,0.0366719114834452,0.0904227528389813,0.1984751240395537,0.3968053045604662,0.0010306865657688,0.0046705087767913,0.0606638531155875,0.0079685896737343,0.0017812787569304,0.0087351225280019,0.0104437000224588,0.0,0.0141070859181438,0.0381409499683732,ML0C,ML
ML.0C.10,3.790855955044024,0.3627750573768749,0.2284420212855508,0.1636683555326967,0.2075756803852405,0.0004791040863459,0.0020605091924566,0.0005354083778382,1.8724149908055825,0.537039367431117,1.096433051697301,5.889912174718135e-05,0.0045673096345886,0.2442782880721255,1067.4501754042365,0.0317266699845144,0.0750504045948306,0.1693424932234274,0.3746434225732085,0.0013185760084183,0.0038684567292287,0.038371940474688,0.0057975375989639,0.0013319042953156,0.0064292817881343,0.0078143352462333,1.4823541059246043e-05,0.0124081702008368,0.0346003252562954,ML0C,ML
ML.0C.11,6.105293874426978,0.5304403445397883,0.2156313329940982,0.1873217805166377,0.3986133442244071,0.0008899394343961,0.0028620071944134,0.0016141144116607,2.705303872359334,0.6226017026719854,0.9128278394315256,0.0001059327985894,0.007052635951541,0.3171849088975658,988.2705544935066,0.0418258292558737,0.0815504508909146,0.2368759115145156,0.4363337021018612,0.0008488419673905,0.003831290132681,0.0462839851046635,0.005419087225529,0.0008141478946686,0.0115645977784661,0.0093561283063341,0.0,0.0173177153093983,0.0466111717380474,ML0C,ML
ML.0C.12,5.874118637170813,0.5196623461046203,0.2180033722765682,0.2161094040195315,0.3889155802673851,0.0009002174532545,0.001969751483671,0.0015113099049866,2.662142986456725,0.9837069887366598,0.6490632955536908,0.0001130857955459,0.0036479592157424,0.3243786627441435,925.759642009902,0.0398508312564683,0.0733517949072864,0.2547361432754575,0.4192414264599222,0.0016240116474777,0.0042060685163375,0.0562050684323996,0.0025035230216062,0.0011419867422544,0.0117628197080318,0.0105786369956921,0.0,0.0183749017845812,0.0441220132636096,ML0C,ML
