Na_a,Mg_a,Al_a,S_a,K_a,Ti_a,V_a,Cr_a,Mn_a,Fe_a,Co_a,Cu_a,Zn_a,Sr_a,Cd_a,Sn_a,Ba_a,Hg_a,Pb_a,name_a,Na_i,Mg_i,Al_i,S_i,K_i,Ti_i,V_i,Cr_i,Mn_i,Fe_i,Co_i,Cu_i,Zn_i,Sr_i,Cd_i,Sn_i,Ba_i,Hg_i,Pb_i,name_i
84506.76113,7039.45475,14768.70334,6515.89427,297820.57523,53.61111,6.45177,1.0,2474.3187,164979.78001,74.8563,1494.22112,2385.4415,886.88889,203.39959,76.87976,57.38889,296.24207,345.46223,102vC.a_4,6776.21736,334.48045,520.53333,1.0,7920.98414,15.0,1.05556,1.0,60.53219,5972.34925,6.18963,58.22222,111.23946,6.83333,2.27068,1.28801,1.0,3.93102,10.26816,102vC.i_4
92648.31669,6818.51031,16001.31445,4236.50538,256724.79745,70.16667,5.65004,1.0,2444.15203,163302.50223,79.96741,1486.16557,2595.27483,760.77778,179.12181,52.93531,64.22222,319.51985,440.79556,102vC.a_5,6232.55069,316.20267,515.7,1.0,7509.48414,129.94444,1.05556,1.0,72.42108,5851.57147,5.31671,59.88889,103.79501,6.16667,1.31767,3.04093,1.0,10.1657,10.99038,102vC.i_5
86046.70558,6965.39919,15162.14778,4659.2276,218524.74189,55.61111,3.57087,1.0,2391.09648,161771.78001,77.8563,1428.38779,2707.21927,932.11111,166.17737,51.10198,64.22222,3604.35318,361.46223,102vC.a_6,6126.1618,288.98045,527.47778,1.0,7469.70636,23.33333,1.0,1.0,58.42108,5720.29369,5.54692,69.05556,116.57279,8.11111,1.0,1.0,4.77778,17.8132,12.54593,102vC.i_6
91492.81669,7243.67697,15858.98111,6896.89427,332251.46411,51.77778,4.78511,1.0,2725.09648,160902.1689,69.63408,1515.38779,2571.88594,957.16667,213.78848,65.21309,58.38889,356.13096,461.40667,102vC.a_7,6785.99514,369.81379,546.53333,1.0,7847.1508,31.33333,1.11111,1.0,67.08775,5610.07147,6.30074,67.16667,103.96168,7.5,1.63534,1.57602,1.0,17.71454,7.82371,102vC.i_7
85372.76113,6639.06586,14808.81445,5381.44983,248294.68634,37.22222,3.04724,1.0,2623.76314,158569.50223,67.96741,1531.22112,2478.10816,814.66667,205.06626,46.04643,49.72222,294.29762,422.96223,102vC.a_8,6335.49514,305.4249,520.31111,2.2902,7654.98414,78.55556,1.11111,1.0,61.6433,5473.68258,5.87227,70.38889,109.46168,9.22222,1.0,3.48537,1.94444,16.2701,10.04593,102vC.i_8
89952.15002,7516.06586,16118.25889,5293.94983,268605.63078,57.61111,3.9042,1.0,2505.8187,157338.72446,75.52297,1430.9989,2478.99705,758.72222,194.78848,43.59014,48.61111,292.35318,390.40667,102vC.a_9,5496.1618,256.81379,502.42222,1.0,6602.1508,21.22222,1.0,1.0,64.08775,5415.96036,4.30873,65.55556,107.46168,10.33333,1.0,1.57602,1.0,12.12834,8.37927,102vC.i_9
107940.30158,8209.36315,15526.68787,3210.63432,220485.50976,101.0759,7.0,1.0,2491.44662,206675.18258,96.92556,866.94444,1846.4415,781.22222,198.60426,22.83351,59.5,11323.05338,445.07334,102vD.a_0,4211.30562,449.76614,1129.89431,1.0,6048.11519,42.22144,1.11111,1.0,132.39883,9707.63423,5.18278,67.0689,137.88594,28.22222,1.0,1.0,1.0,1.0,16.49038,102vD.i_0
100529.80158,7492.14092,13298.46565,3326.13432,159153.50976,21.01643,4.77778,1.0,2238.00217,198433.51592,96.81445,843.05556,1808.83038,761.38889,190.65982,33.50017,49.61111,10665.2756,408.29556,102vD.a_1,4257.36117,452.65503,991.94986,1.0,5464.94852,8.6831,1.0,1.0,133.50994,9145.85645,3.65611,65.23557,132.9415,25.55556,1.09812,2.57359,1.0,1.0,24.15705,102vD.i_1
95401.74603,7051.36315,12452.35454,2891.96766,161136.89865,18.96088,4.77778,1.0,2081.77995,194198.57147,91.03667,820.44444,1803.4415,820.22222,212.4376,24.14213,33.83333,9492.83115,368.51779,102vD.a_2,4008.47228,409.32169,978.61653,1.0,5817.89296,24.15336,1.05556,1.0,113.84327,8862.57867,3.69111,65.62446,124.27483,25.61111,1.0,1.0,1.0,1.0,17.7126,102vD.i_2
100963.57936,7501.69648,13578.13232,3000.80099,151012.73199,26.10172,5.66667,1.0,2259.55773,189787.57147,106.37,758.66667,2443.99705,756.83333,241.88204,40.27795,51.61111,8998.10893,374.74001,102vD.a_3,4352.13895,426.48836,1002.44986,1.0,6642.61519,13.55086,1.11111,1.0,119.62105,8537.30089,4.475,59.18001,127.10816,24.94444,1.0,1.0,1.0,1.0,21.10149,102vD.i_3
