,name,S,Cu,Zn
87,ASC19C,0.34062675943482823,0.6014429775607648,0.0
88,ASC19,0.3101351784687035,0.4440594384435076,0.0
89,ASC1B,0.23512564647647163,0.3826262236605813,0.0
90,ASC1C,0.27891930830032347,0.4267285877008167,0.0
91,ASC1,0.1912940078937797,0.3963873901837857,0.0
92,ASC20B,0.21429171519415569,0.3409293546268176,0.0
93,ASC20C,0.1607481663678291,0.3005673604571588,0.0
94,ASC20,0.12703165002622124,0.159777471673929,0.0
95,ASC21B,0.24360609167192274,0.4602009589386492,0.0
96,ASC21C,0.2454595296901358,0.6008877774685333,0.0
97,ASC21D,0.28502994058502124,0.44494598689992265,0.0
98,ASC21,0.46376781558650637,0.3708448562081668,0.0
99,ASC22,1.8938571951117176,1.1134964982059392,0.0
100,ASC23A,0.1612044079308487,0.12584183262415619,0.5664212123535615
101,ASC23B,0.10148139610178965,0.11065944638721872,0.4540110000195258
102,ASC23C,0.17282219116438602,0.11091536623454772,0.5591685960983994
103,ASC2B,0.11558268014117118,0.21621214144440118,0.0
104,ASC2C,0.1580010111094109,0.31526781534930814,0.0
105,ASC2,0.10261371802353587,0.1971018930668652,0.0
106,ASC3B,0.22110723955426703,0.5506274531594965,0.0
107,ASC3C,0.15752553772887926,0.5469225290975726,0.0
108,ASC3,0.24460874306237262,0.4383934569728258,0.0
109,ASC4B,0.19131278232054044,0.5312839870442478,0.0
110,ASC4C,0.2235580883114276,0.36034086858797515,0.0
111,ASC4,0.2077251075084292,0.3025263715406328,0.0
112,ASC5B,0.25130667604568097,0.5785948974804687,0.0
113,ASC5C,0.3445170738362983,0.4777766706152295,0.0
114,ASC5,0.2097311938338522,0.5494067213655764,0.0
115,ASC6B,0.27216470432318574,0.47068446950547843,0.0
116,ASC6C,0.2621023760526436,0.4732208534445622,0.0
117,ASC6,0.2254552177368336,0.4428399108384432,0.0
118,ASC7B,0.09534849719696739,0.2716621167355806,0.4414479348886385
119,ASC7C,0.14503824050001604,0.2289916073070539,0.0
120,ASC7,0.11247040525885804,0.18978554421210864,0.4879361432530225
121,ASC8B,0.21534468064537937,0.5304808536816318,0.0
122,ASC8C,0.14431459665676075,0.4490088632694324,0.0
123,ASC8,0.19134159426940398,0.4218986391615509,0.0
124,ASC9B,0.2469930133002396,0.43783849909926265,0.0
125,ASC9C,0.19953743780784278,0.5505531598983239,0.0
126,ASC9,0.16379327236712482,0.48911690086274234,0.0
127,ASCMF1A,0.23297409566474436,0.39898462107755894,0.0
128,ASCMF2A,0.320050697996897,0.570438331488565,0.0
129,ASCMF2B,0.27156218866898313,0.590669577036743,0.0
130,ASCMF2C,0.247767094847545,0.636155896375115,2.4112521407149594
133,ML0A,0.07875695336570696,0.1046436159592463,0.5027452128071558
134,ML0B,0.10515484115217325,0.08917337492130947,0.48551843697006647
135,ML0C,0.08931995500625857,0.09173684653264447,0.5380681533320777
136,ML10A,0.11913017606308722,0.09076180770451375,0.5740322209677682
137,ML10B,0.12835652771547348,0.11324860327971197,0.6080519717915899
138,ML10C,0.21112125787762895,0.1563146886295765,0.48705365431829173
139,ML11A,0.13879808038353264,0.10238444932115105,0.5152205831018717
140,ML11B,0.14650079994371637,0.1369290902812475,0.4720323943127955
141,ML11C,0.14218245473517047,0.0983718335592218,0.4491669599240101
142,ML12A,0.1084678333686125,0.08153375401502222,0.5900200662661904
143,ML12B,0.1568471364812315,0.1167494378547326,0.5252993654013591
144,ML12C,0.15672643765434766,0.14942569955060214,0.4771165936736067
145,ML13A,0.1084678333686125,0.08153375401502222,0.5900200662661904
146,ML13B,0.20239636224350555,0.25185282806254394,0.4854293376269566
147,ML13C,0.10794228102678967,0.1102198466289311,0.5978892868988908
148,ML14A,0.15578754650125204,0.08827296573721811,0.5976229534038671
149,ML14B,0.20611756866411712,0.21788297246841612,0.0
150,ML14C,0.152925965860062,0.09480591977359303,0.5778605634908238
151,ML15A,0.18621887409952104,0.21067066129796427,0.6141367613487748
152,ML15B,0.12995163100113685,0.12104254210667131,0.4739966413811243
153,ML15C,0.17888582649136242,0.15248092257407542,0.5410226553615497
154,ML16A,0.15917489732300474,0.11228910008134663,0.529321267591075
155,ML16B,0.12573905027137378,0.1164946144089695,0.5517905142083578
156,ML16C,0.139247650038477,0.09085523919154173,0.6037321861088808
157,ML1A,0.11380123755913304,0.08393555266670528,0.5078046498825204
158,ML1B,0.08299761569120293,0.07860601656745267,0.4589324759231842
159,ML1C,0.10624101919545563,0.09367788362302111,0.49372650539745
160,ML2A,0.07349157361258055,0.0936967004649803,0.4275470080864513
161,ML2B,0.06242139606992953,0.07681837350510108,0.43303127784694023
162,ML2C,0.08418137385249903,0.10583181899713381,0.38740658651700555
163,ML3A,0.07639715178805974,0.08202350416849721,0.5284776711952178
164,ML3B,0.057392392270241455,0.08881621245600227,0.4766277326367811
165,ML3C,0.07900301714649523,0.09701485036649588,0.42261758001325067
166,ML4A,0.06564452029901399,0.056688802385432106,0.47193669221393775
167,ML4B,0.06276731076079653,0.09238925729045712,0.45123540777192445
168,ML4C,0.08171493287727946,0.08604299240468387,0.42594609707784636
169,ML5A,0.08632458296205946,0.0835241531617603,0.42150731442561445
170,ML5B,0.05455310674960512,0.09149885634698698,0.45192508272108517
171,ML5C,0.0797817299969332,0.12438011365037487,0.44460544682332104
172,ML6A2,0.05470574718400396,0.08081637610871391,0.4382428074982432
173,ML6B,0.07344144477317904,0.10561725816863331,0.4477867187968846
174,ML6C,0.04578752850746582,0.06888856799403459,0.38501216138761574
175,ML7A,0.08472527043145954,0.09981895402797991,0.4068761724494926
176,ML7B,0.08564772483908915,0.09803391309924527,0.3992234543319683
177,ML7C,0.07401272157450513,0.11295077739989369,0.4223977581999486
178,ML8A,0.10985675082731752,0.09786780439060165,0.5077924427248495
179,ML8B,0.10190224523366646,0.09767747675387933,0.49171725279491535
180,ML8C,0.1536359230350457,0.13686207797934555,0.42644530814595155
181,ML9A,0.12781190129003472,0.07512764787788243,0.5262844801881846
182,ML9B,0.13655293254611758,0.09101525948094168,0.526961461332775
183,ML9C,0.1271785260620366,0.08691870575920027,0.46906206705436926
184,MLMALACHOWSKI1,0.10886390792737738,0.17493811190214392,0.0
185,MLMALACHOWSKI2,0.07913478665322397,0.11340704529510287,0.0
186,MLMALACHOWSKI3,0.13165961614599972,0.18162956601455227,0.0
187,MLMAZC1,0.17938214797170096,0.29002659561422267,0.0
188,MLMAZC2,0.159022340050104,0.3127816985844005,0.0
189,MLMAZC3,0.18025494661294814,0.20583842972112798,0.0
190,MLMAZG1,0.15569837992220867,0.15073718165213945,0.0
191,MLMAZG2,0.1465859041849141,0.15420767754709394,0.0
192,MLMAZG3,0.13549263039475848,0.17331493973695605,0.0
193,MLMAZS1,0.1735421179519544,0.16449941989270248,0.0
194,MLMAZS2,0.11457755810157823,0.18730719610294605,0.0
195,MLMAZS3,0.16553383883296782,0.19669808880357423,0.0
