inds,C_a,Na_a,Mg_a,Al_a,Si_a,P_a,S_a,Cl_a,K_a,Ca_a,Ti_a,V_a,Cr_a,Mn_a,Fe_a,Co_a,Ni_a,Cu_a,Zn_a,As_a,Rb_a,Sr_a,Zr_a,Cd_a,Sn_a,Ba_a,La_a,Hg_a,Pb_a,C_i,Na_i,Mg_i,Al_i,Si_i,P_i,S_i,Cl_i,K_i,Ca_i,Ti_i,V_i,Cr_i,Mn_i,Fe_i,Co_i,Ni_i,Cu_i,Zn_i,As_i,Rb_i,Sr_i,Zr_i,Cd_i,Sn_i,Ba_i,La_i,Hg_i,Pb_i
C22.3,0.04033516506109426,0.07138613493976796,0.027796704163845744,0.052173605607956135,0.026414996713975823,0.0018125855775609427,0.0009111140096194432,5.5019582896144895e-05,0.21464023935890827,0.2880135153593428,0.0019395680751875958,0.00011949952110132748,6.899866406400877e-05,0.0099674003687393,429250.5029822496,0.0007551910138840762,0.0014839205231473964,0.0019654781274529086,0.0024190987451083276,3.313829560777661e-05,0.0008320995132990127,0.015214239753015916,4.7110391666316067e-05,2.382051702961742e-06,0.001212988237268921,0.008856884016015223,0.00010908845579116998,0.00033240187528051687,0.011232785675633801,0.3303512268577753,0.10924142942525988,0.1259093691669636,0.05464280409230319,0.05480483588882311,0.0009965288422474192,0.001316533994938773,0.000287752310169745,0.4227122657670536,0.26102569108776497,0.17167648968779184,3.150991777316468e-05,0.0001786124374679001,0.023840604196592733,18300.16954833378,0.002086066055708877,0.001490348521466844,0.0016285324261384898,0.006137593839259117,4.459957100789554e-06,0.0009503952216043733,0.01928909866024591,0.0001331969928559639,3.177248550546884e-06,0.0008466125247293171,0.00221904056461245,6.328199552850087e-05,0.00028919160956530194,0.005541970600148268
C22.4,0.041867472187356806,0.07423596340597341,0.028338546064520655,0.05375996074003515,0.02723033413148494,0.001787411883784175,0.0009017359786808618,6.233228614334807e-05,0.20822262422371554,0.31345496434750986,0.0019039458324173256,0.00013200467361372916,4.235685255433956e-05,0.010213388495314288,404481.2390644337,0.0008209304260093647,0.001537751294327,0.0019943379488798667,0.0024654995571197495,3.364274301522219e-05,0.000846642519476901,0.014620115623683295,6.17261025061583e-05,1.8067101417508477e-06,0.0012493948134512677,0.00922708136857264,0.00011265430909867886,0.00033239752096373467,0.01139590143743003,0.3267166137510599,0.10366766486967371,0.13980830963840504,0.05902568444365963,0.06586609467514826,0.001014894089820972,0.0014244498131431571,0.0003084421865459095,0.40953732078653066,0.29816357188495396,0.196000867695223,5.156677475501207e-05,8.763525587135179e-05,0.023698529087423894,17517.297280289302,0.0020565201690165204,0.0015974722697156827,0.001704406493103571,0.006321492154198736,6.201868166004152e-06,0.0008814488365714452,0.02111167623104018,0.00012771931852579901,3.3192441871515387e-06,0.0007270527534760717,0.0020438040697814065,0.00011195585114802913,0.00034953780114162247,0.006237559713811148
C22.5,0.04205348175587691,0.07233808542161754,0.026528975271248124,0.05618396549911775,0.028156923132627416,0.001849199638540693,0.0009515765936801102,6.3710421138711e-05,0.2217100179114952,0.3084058654542183,0.0021278613803081613,0.00013269952598214161,5.2594269995789586e-05,0.009736514601242707,384853.346398912,0.0007838838189428906,0.0014705786680105244,0.0018452776271792632,0.002605167570143214,3.6723217939406065e-05,0.0008394661525453065,0.015499394684565118,5.6734011927950946e-05,7.215735915503242e-07,0.0012605309421065394,0.009075339633188753,0.00012271554758591275,0.00037277909599257674,0.011325224797694225,0.27531701411842313,0.10168295235677877,0.13207015194191463,0.05510476242781846,0.059307741235184834,0.0010756885986806237,0.0014294313966873497,0.00040936170033493963,0.38413350632811605,0.34149189376063915,0.15912065057435976,5.215450981936845e-05,1.1612452194151122e-05,0.023357433352768703,16775.240772983907,0.0019795407747139893,0.0017569524250294808,0.0018764887370731904,0.006008065976002144,3.3281732813361998e-06,0.0008529766820628778,0.020730051154105335,9.096139182274914e-05,1.0502658610733849e-05,0.000725885720058753,0.00170282392666773,0.00012225827246433444,0.00026152429643867446,0.006234620733516338
C22.6,0.04415448555655121,0.07593784000060298,0.027970518829738195,0.060224055882288345,0.02894078012143802,0.0019662922889608627,0.0009365757374241334,7.589764075746097e-05,0.2167918803378134,0.3719040523225605,0.002658428140897017,0.00012950252375770345,4.503331127115846e-05,0.009748184337243834,367118.60375283775,0.000672411472125279,0.001413076220686016,0.0019310617050045343,0.00222231507045668,3.5273699173885555e-05,0.0008984364535886342,0.018552018003013232,6.625384649411496e-05,2.156187529737724e-06,0.0013191707633406781,0.009890534558469777,0.00011837081748193675,0.0003742845353584457,0.012256798999606158,0.3284358695947032,0.09680278044622909,0.12206492687068402,0.0586829644186844,0.04392464818400904,0.0012291962788968324,0.001560520851690015,0.0003020176892356689,0.38557771458991924,0.3736136199047993,0.11417376734158093,5.2336102033695825e-05,0.0001281124976321487,0.025060658301010317,16158.444928052846,0.002234619192104513,0.0018240209313205309,0.0014763310404826689,0.006605321904029844,3.492077750460418e-06,0.0008590956978240207,0.026282458523906614,0.000104337621048866,0.0,0.0010954577901091027,0.0025559849140009165,8.243166455274055e-05,0.00038646991149925744,0.007931843475557573
C22.7,0.044635307334636415,0.07420620696896221,0.029084489893690484,0.05984359180293312,0.02735041223628759,0.001954747298728015,0.0009651602601340612,6.538213239561038e-05,0.22982590370159828,0.33336937865809607,0.0028607860076545217,0.00011689157374980766,6.416100638475228e-05,0.009755592489319884,349103.8165538808,0.0007011678045129707,0.0014304415594971105,0.0019301387200526751,0.002426532433751497,3.912311833160591e-05,0.0008813167730467692,0.01781179365228435,5.6570858592948084e-05,2.75476992070263e-06,0.001297425349826397,0.009538466222939555,0.000117332144354574,0.00038680168802234215,0.011995010156290063,0.2951955658823042,0.08722195937315165,0.11415752584454447,0.05552474960322286,0.03576473917162981,0.001194610363433845,0.0014912866297896751,0.00021438300765529487,0.3431549693529715,0.36980434984881116,0.11033668022181457,3.542806082077391e-05,0.00044277771672199755,0.024151890189254337,15614.679452935723,0.0022115436337830537,0.0016853029138539394,0.0014723474996524487,0.005765861789415252,1.8449889401281917e-06,0.0007180636394940479,0.022671463839481026,9.87184850579747e-05,1.5231369027482358e-05,0.00046342294306535433,0.002022176318429766,8.325241305422445e-05,0.0003460977632387971,0.006875242696184023
C22.8,0.0456215500792915,0.07331578691033716,0.02965868752805116,0.06686608454341422,0.03243326414969081,0.0019355966140287228,0.0010956368967267502,7.184517726652672e-05,0.2361710071390052,0.39400047358616236,0.0031973851857155892,0.0001292351194306371,6.802364014682388e-05,0.009596106429589461,329795.0398178056,0.0006430609857425111,0.0012527496145451566,0.001855510187156769,0.0022668152749861998,4.75041911609564e-05,0.0009325630902642436,0.022138166992476133,6.448833975123116e-05,2.4108327604187914e-06,0.0013015839007722587,0.010359920880186542,0.00012675751190968396,0.000363570854519441,0.012346556580891462,0.3107990914311528,0.0942543711422046,0.13005623317803794,0.05476576887352858,0.0363520733196661,0.001072879990797622,0.0014250680717399773,0.00033959499216736294,0.3617117606628492,0.2730411774765792,0.11467323914057881,3.1767544819872596e-05,0.0002459151036267232,0.02592738551849463,14838.273428150047,0.0021710972249795774,0.0017335746226424134,0.0015384528834171604,0.00606755200929575,6.633305945371703e-06,0.0008354357438357549,0.024325175169205328,0.0001524389025025248,1.1873660894890161e-05,0.0007693783049757536,0.0029386810167155025,8.086978899812137e-05,0.0003122837538588169,0.006321470642406939
C22.9,0.04561985073899489,0.07196665379883029,0.02892168781512665,0.06942104866823974,0.03279803343811303,0.0020437136004127455,0.0011496382945762,7.501698998746902e-05,0.2282384795423449,0.38670691191945755,0.0032063009858713425,0.00014438921674205475,7.484060882530695e-05,0.009834901264215119,310865.5139537517,0.0006400917427461404,0.0012930234928430996,0.0020186685401999524,0.0023494848875238667,3.7125581295187496e-05,0.0009195568516950541,0.02172413655305907,6.821286214228775e-05,0.0,0.0013114218214395094,0.010248085333988244,0.00013538810386153543,0.0003663126967646747,0.012459346456302964,0.3096873460320288,0.10137207483266614,0.1286758056944221,0.049741806370154414,0.056060013215602375,0.0010474294965403224,0.001441556653738764,0.00032575776451114523,0.4081178508753398,0.245447860433431,0.10721995220922453,2.1482814448497717e-05,0.0002192138488605133,0.027006318175886664,14005.296375165677,0.0022395329183205414,0.001742322256923279,0.0016069527844814965,0.0063281466139495065,8.571357715093642e-06,0.0009383954847576021,0.0195847949933843,0.00012722461756508756,1.2579857093486806e-05,0.0008579930670893044,0.00236469767703909,4.865472864450794e-05,0.00016005377085935156,0.005959048080429467
C22.10,0.048842306230673864,0.07446640157456409,0.02934489185000367,0.06911021975077232,0.03429131495034702,0.0020696680823635424,0.0010947628687084858,7.601703350473418e-05,0.22990072572736497,0.42445735423292036,0.0025368920047191585,0.00015616876929242142,8.550760968677504e-05,0.009665373277469762,293462.88739833777,0.0006036801118617362,0.0012608366519413225,0.0019611123080588086,0.002122290599897265,3.4726381244906005e-05,0.0009297156730536777,0.021052085606815072,6.81665321381728e-05,5.797126144526908e-07,0.0012164509991436786,0.010711562522206465,0.00013608118298757887,0.0003852758452344273,0.012494495533334593,0.29071649374043373,0.09979399114858564,0.13152740262449306,0.05367867674597766,0.04921346739100477,0.0010149294234836786,0.0015514406002777848,0.00033607119937455426,0.41158748208001983,0.3072251755705229,0.1373746698787245,3.1453585258173297e-05,0.0002831041696206508,0.027778854835557452,13205.55653044372,0.0022741650537267855,0.0018265302587971433,0.001584764490508857,0.007265662276688605,6.000157539245712e-06,0.0009067232257396213,0.0212382685056795,0.00013291849009134827,4.403009221017058e-06,0.0006176971454347049,0.004518911098249085,7.363749646024999e-05,0.00021953444006803625,0.007297231274899303
C22.11,0.05430643196351387,0.08174813687611537,0.031020694824419853,0.0732300847215149,0.03695988999924967,0.0019850214051168697,0.0010997099446263597,9.753001696629666e-05,0.23421129636214696,0.5807794761979421,0.0028572989289628392,0.00015853040965108903,9.172341758469415e-05,0.010088624788469542,279601.1965964749,0.0005776610423564608,0.0011923685227549054,0.0019740223482196764,0.0018622616839788768,3.841559422650792e-05,0.0009764745560240472,0.02217564086827711,7.496412063540876e-05,1.986400736202894e-07,0.0011406268275261,0.010986079129055118,0.0001430962168573559,0.0003840090710254707,0.012902927487799537,0.2894305098274366,0.08969424765006337,0.11968100812263158,0.05558492392800141,0.04238663714339856,0.0009702354650824941,0.0015057369434492093,0.00019430831458728542,0.3537124706520564,0.3372153073267116,0.0961225378811283,3.3431619086798555e-05,0.0001326347144382815,0.026970813595913357,12499.56859134111,0.002089206804356734,0.0016089524039333458,0.0014449305810927326,0.006335261785128144,4.418974130053049e-06,0.0007474685499873194,0.02097727540532472,5.173762795463318e-05,9.4435611050671e-06,0.0005738005155620563,0.006556361484679739,0.00010498052259024648,0.00019246140460273432,0.007779370759007716
C22.12,0.05039887981150532,0.07695263074252821,0.03030791125511662,0.07311973975903821,0.0355078674091852,0.002069422414489582,0.0011321614938244965,7.71952551735711e-05,0.2335621163971689,0.49866975956995785,0.003345050355428715,0.000161329053436927,7.891768198046811e-05,0.009771048796456353,261907.45257345602,0.0006074186344143606,0.0012626250693661821,0.0020430111104765424,0.0019753913102262843,4.1137990546043514e-05,0.0009748095414346464,0.023448895569414898,6.881691457626879e-05,8.549282288066063e-07,0.001274713725827226,0.01081967732342389,0.00014011792050551216,0.0004009989313082534,0.013365926634759355,0.21939954809955292,0.08711211210032477,0.12120310680578125,0.049720177948791605,0.045601348233385346,0.0009963779855196682,0.0012331580600784605,0.00013704606282368185,0.3420744970531682,0.31377618212052694,0.08724439949496877,3.895464144789427e-05,0.00015997349122787367,0.027266358306376994,11778.51741887186,0.0021321831069047122,0.001707375691722704,0.0012971878230833677,0.006629213267686648,3.969934473754477e-06,0.0006466803795070176,0.022562616077316383,9.423321837866361e-05,1.4809381801918176e-05,0.0004177904148644024,0.00534302200888323,7.60101643386502e-05,0.0002059398279362061,0.007276145246320561
C22.13,0.06289392808627367,0.08751246088640716,0.0364636445712935,0.08849487588086208,0.0480710398420335,0.001965601018789303,0.0012681611288362109,0.00010707913156914315,0.24303643785971746,0.7057379013716546,0.004159305500030729,0.00018519057277383558,9.647883089767923e-05,0.01047770401347172,246344.92027236745,0.0005385348770709236,0.0009520935708820929,0.0020203737745546793,0.0018399840214364705,4.935275129204008e-05,0.001046244028547183,0.027658488040963734,8.153359655268637e-05,2.5719029172937152e-06,0.0011160983871950165,0.013989598103271635,0.00019293122846981774,0.0003421404469662093,0.014041149189086697,0.29015192953138047,0.10341910067423211,0.13533264737676906,0.06223865345006134,0.04456382819198913,0.0009605228520513038,0.001574830592269107,0.00020598727711663208,0.43803521286064023,0.3235253065156963,0.16652380850758056,4.3390320732806256e-05,0.00041704494111315744,0.026261310059170283,11038.167712197192,0.0021694825565979118,0.0014038371813910983,0.0019799439770229826,0.005912841902488854,2.6099359645060876e-06,0.0008535457725379066,0.02295016652193698,0.00011698810228647471,1.5802673601694682e-05,0.0004348435276218966,0.006171391755828822,0.0001055089112847225,0.0002856001887359893,0.007770145409673957
C22.14,0.05726626832915259,0.0801257507412226,0.034896792838399714,0.08486741364457007,0.044528778828316594,0.002228488192917673,0.0012218002601595312,9.298612150771678e-05,0.24391519389757105,0.4947914524558553,0.003385309247956252,0.00018084748767228226,7.887054867477491e-05,0.010358824176149306,232992.3052066457,0.0005871538798504484,0.0011590202859428859,0.002053243478225548,0.0019868779315479045,4.0806332371369036e-05,0.0010520193869801738,0.0256937630172237,7.480459048028875e-05,2.4213690209063406e-06,0.0012466684313718044,0.012243268115983107,0.00016026312772601995,0.0003976903920975204,0.013727613846910881,0.35688575181369414,0.09674844494731165,0.13520898938362216,0.05894944039951365,0.04817581368263818,0.001057310235754778,0.0018337917154084827,0.00014694875986431553,0.415368346479778,0.3697839863449233,0.15171196536300857,3.971435876664183e-05,0.0005245514478993309,0.029285530381909914,10374.586149098484,0.0025532921983843016,0.0016087616019327404,0.001833201664255878,0.007077080839524945,2.1411201714342684e-06,0.0010377055315909645,0.02353002774837725,0.0001213522250741421,5.604482563119711e-06,0.0006341409491682342,0.006096055545489301,6.700031853745407e-05,0.00022361377965877867,0.008027840491802288
C22.15,0.05609107552397569,0.0763597607391474,0.033848413532417736,0.0892991024792241,0.04566002933465939,0.0021348892332859995,0.001404150267790215,8.795492173934683e-05,0.26380856622281174,0.5671120886379277,0.004140818682251088,0.00018610448400859794,9.429672996248906e-05,0.010193651790654349,217611.23548081372,0.0005825850171285151,0.0011010264199146503,0.0020677010423467714,0.0018785104380402407,3.695407941728533e-05,0.0010541253875290984,0.028610629126066132,9.204638582883829e-05,3.892797886796276e-06,0.0012391202545784588,0.013950292945014762,0.00018144474969701842,0.0004984055292002973,0.014159245272040825,0.3049321997492211,0.10405825939014,0.1391995514092953,0.06294923679514638,0.04792748764505353,0.0009914244574787284,0.001674911756446745,0.00027858494605592513,0.4348648795568425,0.3726282204436941,0.16748001824269826,5.027791170734233e-05,0.000544248220931515,0.028910483801003636,9541.477888989222,0.002242481271916622,0.001302280071745154,0.00167004958140858,0.006918590237250335,6.033524566572243e-06,0.0012970694568452989,0.025336688627138428,0.0001164651449154158,0.0,0.0004946784177985176,0.008574766903675042,7.428172963744641e-05,0.0002034632174685382,0.00801857113041984
