S,K,Mn,Cu,Zn,NAZWA,OPIS,short
0.2331755093211012,0.8055292764465403,0.13440247656084817,0.13249389268466458,0.5077978260974053,APP2A,podpis - Jabłonowski,APP
0.24024883797889438,0.8741043249466914,0.16778891325566178,0.16223336697256244,0.528252542980321,APP2B,podpis - Jabłonowski,APP
0.2691626102180211,1.1801440098997922,0.21065618505703654,0.2311169066246351,0.5050393616015161,APP2C,podpis - Jabłonowski,APP
0.2540766401101042,0.9634147926883688,0.1902282200714064,0.21579841242835693,0.5331630300049519,APP3A,podpis - Szydłowski,APP
0.17122086850230933,0.7623569291458524,0.13835043653559304,0.15531300895861874,0.5178465904828029,APP3B,podpis - Szydłowski,APP
0.20903245467834888,0.9402277169353499,0.19972646659702922,0.20784351929256517,0.5276818162830309,APP3C,podpis - Szydłowski,APP
0.21560187208853523,0.7741071701345716,0.15320320093936357,0.13178103463225718,0.515809730475623,APP4A,podpis - Kwilecki,APP
0.23215459948038464,0.7740426119684337,0.14078227290795453,0.13584826036761954,0.5229355083433346,APP4B,podpis - Kwilecki,APP
0.22628185644297324,0.7568568474883998,0.1385401660463592,0.11660318807440555,0.529106719122176,APP4C,podpis - Kwilecki,APP
0.22994705917814792,1.2921845510123824,0.2309761928695746,0.290708827542798,0.4436209418606116,APP5A,podpis - Plater,APP
0.21811369596305322,0.8450638878316289,0.14938761229065908,0.15469929249022396,0.5133870121334146,APP5B,podpis - Plater,APP
0.2027433588688959,0.724033336616542,0.133346552318873,0.1228155681419388,0.5413188828499126,APP5C,podpis - Plater,APP
0.23206850018193667,1.4083776536201487,0.19692912526875228,0.23695191784358763,0.22750356628082813,APP6A,podpis - Stroynowski,APP
0.30839545796815276,1.6454615146693738,0.3055589927695373,0.3658105007796888,0.3183386711369258,APP6B,podpis - Stroynowski,APP
0.24163021584552605,1.2764960784719148,0.2132656030157518,0.23977169207196827,0.2562329026377655,APP6C,podpis - Stroynowski,APP
0.2699998059618835,1.055973180305542,0.20208639001746717,0.19623774737802113,0.4819040973766728,APP7A,podpis - Potocki,APP
0.25586435060328777,1.0844967854189642,0.2049234517887075,0.20933090660417664,0.49669696057276497,APP7B,podpis - Potocki,APP
0.2734548220343718,1.1779512692010685,0.24483793849268606,0.24674296981384028,0.4784320508181252,APP7C,podpis - Potocki,APP
0.13340095341446426,0.7031191776494561,0.12142646694645308,0.1205456276640839,0.5037415140709651,APP8A,podpis - Zboiński,APP
0.20364499640889347,0.8251158003254773,0.1438444151745416,0.13759322091452744,0.5219705365115398,APP8B,podpis - Zboiński,APP
0.28750800121931197,1.221005927896539,0.26442557299024666,0.2910975914360367,0.4914330758099516,APP8C,podpis - Zboiński,APP
0.25823401412460106,0.8555946251116299,0.16444010152448485,0.15748126524024356,0.51699694129018,APP9A,podpis - Nowowiejski,APP
0.23195911997868834,0.9255490132468601,0.1880222602101326,0.18180985073503378,0.5071176104723495,APP9B,podpis - Nowowiejski,APP
0.25114171748120084,0.893121088255605,0.17570830419641495,0.16560187733330353,0.5306412315214991,APP9C,podpis - Nowowiejski,APP
0.1145420967661358,0.5449774718846151,0.18987738249651395,0.22965788348675634,0.46477281776007423,ASC0,oblatowanie,ASC
0.24421253671751644,1.0049113994105978,0.41871698699043985,0.5534484766508229,0.4214341032631457,ASC1,treść,ASC
0.3355067445046174,0.8007559061827063,0.6172929819934387,0.6471103276306468,0.4560082487739954,ASC10,treść,ASC
0.2792986132365254,0.9828945615380476,0.5720379682072436,0.7061228077475504,0.5844034506027009,ASC11,komentarz,ASC
0.352066583877356,0.8920131840966049,0.8213497312047021,0.8158606330941215,0.6604983118883258,ASC12,treść,ASC
0.35260783356337094,0.971164110091419,0.6634237689465786,0.747610623000703,0.5442595686522018,ASC13,komentarz,ASC
0.17029436776434703,0.31755810598994233,0.1710961303244428,0.18738193232638867,0.5402376350245485,ASC14,komentarz,ASC
0.1470299445492043,0.29280726883675817,0.15210596967926496,0.1427331657447053,0.5429016432864201,ASC15,poprawka ,ASC
0.3095345732232386,1.017061001881297,0.8179332451292947,0.7812188589952777,0.5981083299462665,ASC16,treść,ASC
0.3052601185902719,1.3381785677148665,0.4853281174579442,0.6573838206633701,0.5852731597031529,ASC17,poprawka ,ASC
0.2991471083479108,1.3074047683022327,0.40442669764944833,0.6465778953159389,0.5983756394253664,ASC18,poprawka ,ASC
0.32559810157100316,1.2008317871697942,0.6377459752458473,0.681573200890535,0.45400218398645387,ASC19,treść,ASC
0.15452347104910222,0.7088081300424464,0.23044510976001867,0.33419952844642387,0.2854148502116089,ASC2,poprawka ,ASC
0.1469746100933446,0.6917088487004763,0.26746209637558327,0.3232787418996517,0.28859142591150816,ASC20,podpis - Małachowski,ASC
0.4900436370477724,1.1669118254324455,0.36073055336674215,0.6041096427812122,0.6112547169658572,ASC21,podpis - Sapieha,ASC
1.6181047727242797,2.00843989355138,0.7079409958401026,1.2516364554015844,0.6390014113932588,ASC22,plama,ASC
0.2669846598255048,1.1969642780887464,0.3360912713118942,0.5852091666332983,0.6099393833554377,ASC3,komentarz,ASC
0.2885973373791931,0.9770154803634931,0.4400761966456395,0.5046515880271155,0.36660663371090435,ASC4,treść,ASC
0.2872209139111441,1.182302112306853,0.5160771992853552,0.8141238104251242,0.5696304068317884,ASC5,komentarz,ASC
0.3562191652447431,1.1214495968301035,0.6695925672812408,0.775814355235016,0.46671277780410225,ASC6,treść,ASC
0.1450198355626723,0.4363873991582296,0.28892144588727114,0.3415479211541108,0.44144270908868743,ASC7,poprawka ,ASC
0.21887014762754864,0.6168495124381899,0.36154897766091215,0.6872843354488966,0.7301702200958123,ASC8,treść,ASC
0.257732253242777,0.8419098532372807,0.49169173005828704,0.6835487359018272,0.6132538921022178,ASC9,komentarz,ASC
0.10607131045640787,0.6023382064250845,0.13601694018631635,0.17035190885557072,0.48244179248307223,ML0A,podpis - Małachowski,ML
0.141686489477756,0.6837323897570925,0.13663926230404097,0.1692793466518935,0.4818129587573465,ML0B,podpis - Małachowski,ML
0.1154064096017104,0.5469632251596978,0.11972580330727106,0.12929663380461642,0.4963755433230754,ML0C,podpis - Małachowski,ML
0.15819122312083525,0.7925423043245822,0.1473211651251151,0.14476304704171597,0.5384255407937323,ML10A,podpis - Radzicki,ML
0.16814545564917852,0.8914706934973927,0.1948223789012117,0.23733030458816343,0.5180442924447849,ML10B,podpis - Radzicki,ML
0.29030912017264626,1.3718055513920169,0.2936546806078739,0.32029339114100214,0.48606213751806987,ML10C,podpis - Radzicki,ML
0.18700936619701983,0.89025283395763,0.1700054757831098,0.16984947678848675,0.5229532011177107,ML11A,podpis - Zabiełło,ML
0.1900736660440192,1.0741241692878114,0.23761401885661715,0.2341568577255423,0.4995159108371309,ML11B,podpis - Zabiełło,ML
0.18890901534706386,0.9499210843857037,0.22022163929400884,0.21123666829058133,0.5059586921546768,ML11C,podpis - Zabiełło,ML
0.1445450666561033,0.6716876327181885,0.13110086033737756,0.13188157704289405,0.5489695526002133,ML12A,podpis - Puttkamer,ML
0.21258810544880555,0.9217971210094617,0.1734388394859331,0.1638738387714585,0.5397827047191169,ML12B,podpis - Puttkamer,ML
0.20247372591290325,0.9770242050088833,0.19772388229673124,0.22715428587928752,0.4797186828686198,ML12C,podpis - Puttkamer,ML
0.1445450666561033,0.6716876327181885,0.13110086033737756,0.13188157704289405,0.5489695526002133,ML13A,podpis - Sapieha,ML
0.26805801253278766,1.483485788059209,0.3476957883534239,0.4002597658166813,0.5429377695335764,ML13B,podpis - Sapieha,ML
0.14622020562515034,0.7360335128921017,0.2040624883233275,0.1933076375183477,0.5738335821347298,ML13C,podpis - Sapieha,ML
0.18439677392808393,0.7637089608498412,0.1350112812836025,0.1325642523687859,0.5400114195019748,ML14A,poprawka ,ML
0.26332227531027325,1.5478592130784907,0.32915284413784146,0.40192421144374607,0.48261481577999904,ML14B,poprawka ,ML
0.2039379429245788,0.7678159146020161,0.14001418634371426,0.13608159461155092,0.541375194562244,ML14C,poprawka ,ML
