,Al,Cu,S,Zn,Pb,short,probka,OPIS
29,0.12430157447772548,0.10823163200832166,0.010176627054958528,0.24979598576647868,0.00435574320128085,APP,APP12,podpis - Puttkamer
30,0.023411647566636946,0.08666483208907318,0.008513383351520151,0.3134121294369724,0.005178864836105751,APP,APP13,podpis - Sapieha
31,0.0531857665392793,0.06881863816600524,0.004356152855519658,0.21624775804476318,0.0021873471567922355,APP,APP13,podpis - Sapieha
32,0.06012640459992441,0.034274880439030576,0.0018282182667361357,0.05844335322442281,0.005100626498723165,APP,APP15,poprawka
33,0.11707075838031492,0.04717375033564331,0.002220502736407436,0.09366283310128785,0.01495166688607628,APP,APP15,poprawka
34,0.10281378160380594,0.08023410582694755,0.006986960288524985,0.3176379804902348,0.002176927053520843,APP,APP15,poprawka
35,0.09714102598350458,0.027918501599124814,0.00168101157147875,0.050980745564236284,0.006164779330946222,APP,APP15,poprawka
36,0.05340474280903836,0.035025796078681046,0.01277338973052305,0.061388727518571086,0.008579418673315535,APP,APP16,oblatowanie
37,0.13249177159906692,0.07021237669638113,0.005141896083920878,0.12904980756311715,0.007447392181562949,APP,APP16,oblatowanie
38,0.10781196856519681,0.03361527059466668,0.0029373628455447434,0.07315100184318234,0.015632307397418863,APP,APP16,oblatowanie
39,0.05997467543300118,0.09322854533017676,0.00858497208307733,0.33842041264737055,0.008121832064263793,APP,APP2,podpis - Jabłonowski
40,0.08493583609541287,0.10163680053904535,0.007376259432242899,0.3291205918890748,0.021875614767052857,APP,APP3,podpis - Szydłowski
41,0.04947143783534281,0.04691772987139398,0.006020288576193599,0.2536530617418701,0.003916830912099914,APP,APP3,podpis - Szydłowski
42,0.08756440378685479,0.15087049707984668,0.007964752196709151,0.3011759406251194,0.010992416536616078,APP,APP4,podpis - Kwilecki
43,0.01858673555167139,0.14505264611029958,0.012275309525387315,0.428555769486979,0.0016129096973277396,APP,APP4,podpis - Kwilecki
44,0.04387887844926271,0.09853634492092975,0.008812560633096536,0.24892961430483587,0.0029322388601776285,APP,APP5,podpis - Plater
45,0.13441915208668803,0.14746965048888677,0.01897321179892574,0.3673402138771316,0.021716939859934812,APP,APP5,podpis - Plater
46,0.11258328628389074,0.05015449840637546,0.0013875420954587501,0.042852497664588166,0.022527712302110814,APP,APP6,podpis - Stroynowski
47,0.08565080015376239,0.019978521942428627,0.001443681613202636,0.04213586898274119,0.01110976410839232,APP,APP6,podpis - Stroynowski
48,0.005658803593063721,0.11757755534326787,0.007068170369099964,0.24205457758885968,0.03007520900779431,APP,APP7,podpis - Potocki
49,0.04982726858082883,0.08723144145217968,0.012900241485338994,0.5000009922443683,0.0009609431163414971,APP,APP7,podpis - Potocki
50,0.08456853450243429,0.06797766732001374,0.007089641539654429,0.3341111897956462,0.03586703116954813,APP,APP8,podpis - Zboiński
51,0.0054394362074972145,0.08234464860844985,0.007808281928227957,0.1535980852972507,0.014205709822479358,APP,APP8,podpis - Zboiński
52,0.03329991761274624,0.000496767739792545,0.013461380976133792,0.3347199027842924,0.0006536091626822714,APP,APP9,podpis - Nowowiejski
53,0.0333469897940844,0.1181233370032918,0.001791145069567307,0.20758955352847627,0.019297024878442263,ASC,ASC0,oblatowanie
54,0.11313158712631585,0.360356356546712,0.0034634891771658646,0.08812938481367102,0.04536479089869267,ASC,ASC1,treść
55,0.16845793822908584,0.2866276875924337,0.0030099643619497574,0.10274283477647882,0.07535556126004528,ASC,ASC10,treść
56,0.4632020995999134,0.6748207300195669,0.006000620125878915,0.29056603312807877,0.15585375971611098,ASC,ASC11,komentarz
57,0.26380515073592065,0.6065767340343075,0.005989618039377193,0.12951897180340763,0.32942046648304146,ASC,ASC12,treść
58,0.5009945687497124,0.665471818805686,0.002935126012409943,0.30349028121067523,0.4441945794698873,ASC,ASC13,komentarz
59,0.015897544002991332,0.06196812146887707,0.0030896122672960137,0.26110562427731615,0.02104771518001804,ASC,ASC14,komentarz
60,0.011542868269085623,0.05652312045077275,0.0038956821664473573,0.2887349132939036,0.002659040466899607,ASC,ASC15,poprawka
61,0.08471521290070354,0.20314308163063807,0.0016516914360028571,0.07343572408207655,0.03808808218288092,ASC,ASC16,treść
62,0.30676272711994695,0.7003255178801664,0.0033318765760591493,0.1788630416546369,0.15454216682723781,ASC,ASC17,poprawka
63,0.39899987933845293,0.596015911489377,0.0038708081260655993,0.23698361542006424,0.05702584343826347,ASC,ASC18,poprawka
64,0.12184683353697809,0.32678750271010415,0.00308345244556125,0.0676708590252383,0.04827847902839271,ASC,ASC19,treść
65,0.023681232667488394,0.05570866602442776,0.0004326903486297357,0.03153439690360898,0.019302705078669852,ASC,ASC2,poprawka
66,0.0184878897092018,0.02594196076670177,0.0004194173345958714,0.020944719206569703,0.03540688223565928,ASC,ASC20,podpis - Małachowski
67,0.3366677542888303,0.48698193972655357,0.0184582310034149,0.26691898359702837,0.07186044451484346,ASC,ASC21,podpis - Sapieha
68,0.025020457903253822,0.16388967116017086,0.0031472241814670355,0.2684020059166517,0.004652278863141992,ASC,ASC23,poprawka
69,0.13923389503332056,0.2087259217182265,0.003983044975777851,0.11836635710216402,0.06884720700495194,ASC,ASC4,treść
70,0.4759250687863002,0.6389133130767763,0.004496866030746664,0.26418386920560616,0.31773420355370136,ASC,ASC5,komentarz
71,0.1986932706019378,0.36884962166305574,0.0038473749592342647,0.09680671961928385,0.06357618196977244,ASC,ASC6,treść
72,0.06872778617956438,0.08401912456514633,0.0015412074329922431,0.0942606715928358,0.022373855904160078,ASC,ASC7,poprawka
73,0.17344102774965314,0.45536093327016075,0.00143696821427605,0.10444858086051496,0.07962814458748797,ASC,ASC8,treść
74,0.30246093848101313,0.4846845544763479,0.002446432597267464,0.1549992670169464,0.10458846140159508,ASC,ASC9,komentarz
75,0.025152125936128884,0.10020394525340656,0.0005173147129298429,0.09855324782371787,0.015313904321366686,ASC,ASC0,oblatowanie
76,0.03339559960004356,0.12416853060152011,0.0008502536930786714,0.07895602872111404,0.02346794924651081,ASC,ASC0,oblatowanie
77,0.1158384352353421,0.10144168250481742,0.002367344317071471,0.06846779613711419,0.09248022848260784,ASC,ASC10,treść
78,0.2689234814390001,0.36492646619919766,0.0032080525829898928,0.0841158886645529,0.2137204766582379,ASC,ASC10,treść
79,0.24049973350273696,0.38491665567363453,0.0029479424854967143,0.08475924116823046,0.25698446627186117,ASC,ASC10,treść
80,0.6988028989397785,0.9996368647631257,0.0017786262347220998,0.2387825122641082,0.18918175596523645,ASC,ASC11,komentarz
81,0.7135587118827839,0.8817642968596662,0.0015390857362921357,0.252138890554987,0.05031718119157281,ASC,ASC11,komentarz
82,0.4219771257660076,0.44962415806462713,0.0063040417065806644,0.1467596244856051,0.27323202613249253,ASC,ASC12,treść
83,0.2446372102057617,0.6552080465732087,0.05162543485686778,0.07601517959032576,0.07535291632096348,ASC,ASC12,treść
84,0.2498855026812856,0.3604333037508659,0.002995955340031707,0.08990742889807211,0.08784281028238974,ASC,ASC12,treść
85,0.2685534651660902,0.007473245481056215,0.017262868165495878,0.04088763577874156,0.0013155598139028193,ASC,ASC13,komentarz
86,0.9300747536020849,0.9545138892695751,0.007526860270995609,0.1354223394663369,0.10524066452414546,ASC,ASC13,komentarz
87,0.04127098153293498,0.0665558807370888,0.008010951131113508,0.29995451359311,0.0022942172484492645,ASC,ASC14,komentarz
88,0.7072847012331509,0.18897159324172025,0.009486369151802707,0.34966083260937747,0.04556386476707004,ASC,ASC14,komentarz
89,0.03558287064949087,0.11610747536343706,0.006818469352690386,0.25244705518001087,0.0023667296076246287,ASC,ASC15,poprawka
90,0.085951525466485,0.13898481488207906,0.0032619656836255927,0.37372619694586484,0.0033419603674643646,ASC,ASC15,poprawka
91,0.055898895287229196,0.2440423824627169,0.0025302460379910785,0.06740067384489819,0.01574009203680471,ASC,ASC16,treść
92,2.5473008456020168,0.048824856583961636,0.030866499904999928,0.016449769031400826,0.20214887004414447,ASC,ASC16,treść
93,0.43121624303732753,1.1494571155054483,0.011732342327573534,0.6649718444511754,0.08683108707646488,ASC,ASC16,treść
94,11.661852819263752,23.5184066438169,0.029059609363804837,2.941522515648898,0.5695422828675338,ASC,ASC17,poprawka
95,0.27675128376005087,0.32328304607326874,0.0020590762906353643,0.06734748539448394,0.00028883263154978685,ASC,ASC19,treść
96,0.26510822952288915,0.7626847980463313,0.007358997072749371,0.062251659252800275,0.06767733431542847,ASC,ASC1,treść
97,0.2977526829751799,1.4921320151843758,0.004697431567596,0.29368145903137943,0.0975931496826231,ASC,ASC1,treść
98,0.2115165459128255,0.3213819163942852,0.0030444430390580285,0.07780379391195506,0.018526162757864777,ASC,ASC1,treść
99,0.07184242903649977,0.029375454734468148,0.0010637039027991144,0.03957896212360408,0.01311329492042712,ASC,ASC20,podpis - Małachowski
100,0.8568061332144499,0.11184325918993951,0.0027314547282225143,0.058236924813910206,0.022688706174071215,ASC,ASC20,podpis - Małachowski
101,0.7830600607585508,0.49946086788080496,0.0064252993997759005,0.13155125004454146,0.02758246038745159,ASC,ASC21,podpis - Sapieha
102,0.474487355091861,0.48973546317692307,0.0028738032495358354,0.16142970826101363,0.03588027596282532,ASC,ASC21,podpis - Sapieha
103,0.6337986334951816,0.3029418361855817,0.03563749280299929,0.14417384821569726,0.027854377194190937,ASC,ASC21,podpis - Sapieha
