C_i,Na_i,Mg_i,Al_i,Si_i,P_i,S_i,Cl_i,K_i,Ca_i,Ti_i,V_i,Cr_i,Mn_i,Fe_i,Co_i,Ni_i,Cu_i,Zn_i,As_i,Rb_i,Sr_i,Zr_i,Cd_i,Sn_i,Ba_i,La_i,Hg_i,Pb_i,name,sample_i,C_a,Na_a,Mg_a,Al_a,Si_a,P_a,S_a,Cl_a,K_a,Ca_a,Ti_a,V_a,Cr_a,Mn_a,Fe_a,Co_a,Ni_a,Cu_a,Zn_a,As_a,Rb_a,Sr_a,Zr_a,Cd_a,Sn_a,Ba_a,La_a,Hg_a,Pb_a,sample_a
4448.427939651978,671.3815892194136,106.40991932897052,95.50231102690282,2442.804597092585,1.251710289813036,0.4891526136661059,0.1312521280106895,1623.299361941435,1234.300713286184,82.69585760953302,-0.014369357060019,0.6221608579470606,13.818655112618409,3369.1169961979926,0.1058345408483191,0.2702295484543257,752.6024538414885,3.228237052185245,0.213887741593027,0.889485367706993,28.313548100606308,0.3293403898228538,-0.081597793406776,56.81272749070614,6.5658153288358285,-0.0244666355287291,17.141712158716572,409.516505690284,108._10,108,7662.394365490652,20654.989617545565,8465.814199800658,4274.452255298153,14428.84094629531,104.32886998020176,9.13030909363562,8.18664456698234,65028.84080806321,197002.7556591261,165.9776280400623,8.135152296231476,6.146779160724835,1105.2640906041725,88582.22902740902,42.02374727126123,9.468326911398174,18228.74264211597,616.4987244491764,34.34557266973599,106.18487676528454,2744.3478374135484,63.073670176075495,0.3671900703304921,2808.308435302195,383.65122150566657,5.753013853828191,632.8881631420066,16381.297504035374,108
3576.060177134696,652.2081209442731,92.63336184798264,84.97857093076989,1743.8310304161596,1.7140713751813357,0.1867456853677803,0.1858054481753716,1624.6565509350771,305.7709414270153,43.57354237389731,0.0071846785300095,0.3555204902554632,11.118424565956786,2967.028043898891,0.1433348033501566,0.1304556440813986,675.4263479895953,2.9653934798429904,0.1975551292836883,1.1481554386050183,26.33583361374882,0.0377931594878684,-0.081597793406776,53.800876015803176,5.5862997161517525,-0.0244666355287291,18.63732929382778,373.6316215030138,108._11,108,6904.24115478371,15789.487891260036,7089.178213325595,3785.7434089460216,12474.919784103258,88.00946127241215,7.379665512286401,7.366905734748157,57046.62126115712,159678.83803183652,163.16239528164004,6.043456461478728,7.297539592913274,968.08789799904,77313.6020242985,35.306147373167526,5.184798150574679,16486.29829291042,549.3919656020994,32.31190020560189,83.62184430643568,2507.151266926299,67.63503391791312,0.2447933802203281,2378.7840871296708,386.93143954295937,3.998269231167257,535.3200674267453,14191.379808593396,108
3011.484469053495,584.6842244349046,66.55177402628536,67.25060076019129,1263.526558725768,1.1670381255420053,0.0720306874269487,0.1708438173615843,1370.0951997601142,158.84990289013606,44.31666340902645,-0.0071846785300095,1.664165868041935,8.676517834907333,2520.6114761459185,0.0275001925013474,0.1863652058305694,557.8122703977862,1.6117230515215404,0.1382209746058823,1.1615494675263411,20.4533755997248,0.0701872961917557,-0.081597793406776,47.9757137129497,7.491912639655916,-0.0244666355287291,14.245741498160193,333.8108271811068,108._12,108,5409.147099085572,13688.19251238601,5875.944908665844,3515.0181456342225,11204.849306275197,72.00668135695344,5.749132971856483,5.206528142240659,47257.9253448956,150747.36828375727,133.70176851481312,4.8821515540516645,7.978169554601888,831.8145603566633,66800.52196197631,33.28829323502768,3.3715330017958767,13888.133773539845,490.8807615065621,26.852014376446,75.10759249263978,1929.3205881228216,58.33872308560326,0.0,2054.143742722336,303.19153408414377,3.70634222303398,484.7796248246987,10956.902759618924,108
1959.4752960493447,482.4495907927847,55.72778483031142,49.96840099841868,958.1463341344714,1.2573740698848574,0.058711909104081,0.1387324814238164,1146.46949503302,67.49154984424769,2.7221620790720658,0.0718467853000952,0.2888603983325638,5.826303970078923,2021.946094406656,0.0275001925013474,0.1025008632068131,419.2930247372554,1.9426705868357224,0.1837230244889278,0.3957012233030831,15.75405246994776,-0.0107980455679624,-0.081597793406776,32.193680078116856,3.300705800102368,-0.0171266448701104,10.456916385130182,266.52838549342295,108._13,108,4254.770984923943,11181.780545303473,5150.450724002849,2328.8475424349017,5967.962568146434,65.74403873960127,3.747679633417061,3.238131211672425,38928.60990169411,101063.80269121096,88.87189730736205,4.4388539473100135,3.883832575811824,720.9804218554866,53627.26347353867,31.58757174156856,2.816251538329749,10865.76551699115,422.2565740210716,22.59285683793401,55.91992403764874,1642.7989292057816,27.73110983530616,0.183595035165246,1851.5588200242437,276.2442507556155,2.278654014614825,447.1022952081498,10777.364420543556,108
2158.7739886346803,406.17142487297696,45.6865405976644,43.56646224315742,1007.0914231015654,1.0113624447596437,0.1165884556298142,0.2295802110648099,963.7480640714496,16.254903476113732,20.5422422395108,0.0359233926500476,0.8888012256386582,5.309270165358198,1676.3860148562694,-0.0025000175001225,-0.0372730411661138,360.1005226018417,1.2520996571638674,0.1827231948213292,0.3199491745426338,16.033034816364292,-0.0107980455679624,-0.081597793406776,25.427734400147447,4.250557507061347,-0.0024466635528729,11.278602341160427,214.77953947378936,108._14,108,3792.289484290773,9154.146013311863,4027.9716789263753,2087.2420950475384,5941.454918741576,54.772517957444535,4.396707412785501,3.248679894969694,32146.547041870977,82499.02103509745,96.50357756143268,2.986527189334434,2.041907076599719,617.433332701955,42329.20341169841,17.384909575713223,2.02208042432757,8389.265958651637,311.385735984103,18.967127837907796,45.96277916905576,1401.5858318474682,26.44358766113696,0.061198345055082,1539.700471362025,247.66677165048188,1.8469145124659747,373.8846043412986,8594.206222682154,108
1744.9634806391207,314.94654025712384,39.78252953510994,40.46511104653518,961.32502948814,0.4930117392224287,-0.0574177904113202,0.2152843499828773,710.7237302068442,178.60430295607222,27.05947193315144,-0.014369357060019,0.6221608579470606,4.205716406555957,1350.1722739019797,0.125000875006125,0.0186365205830569,292.7967575846255,0.7610559402788247,0.1425565643304847,0.3666012020574484,7.699547305168544,0.0053990227839812,-0.081597793406776,17.577356499476494,2.0184172158899374,-0.0244666355287291,8.401517849669608,161.35052770754933,108._15,108,3145.746957168693,7499.167848885426,3057.585070128376,1720.6376482221103,5636.04654698437,43.87625830892562,2.646061769127656,1.3356922730292795,26179.682241693044,70304.88592061737,58.45353021387551,2.107137357088576,1.0104307127092351,445.237265072505,35139.23382509326,17.07660617831832,1.6027578661778858,7073.268279086497,244.9514800344868,14.666656106286888,39.52943608518795,1032.32932062348,25.477806226423585,0.183595035165246,1119.2787375531614,157.2657890441873,1.104560885373756,301.26300195870465,7292.794888994225,108
1588.8289858707872,261.13351147107346,32.596410653284444,32.47062703478748,742.2143024835508,0.5090219412108172,0.1011495281498964,0.244098868054393,615.0705986776413,92.1818707623336,32.393016432067014,3.469446951953614e-18,1.155441593330255,2.1606213303798416,1116.407402124226,0.1025007175050225,0.1380806253596486,251.06183056693493,0.0836325209097609,0.3147263775569906,0.0474225203068726,7.522069558570264,0.0377931594878684,-0.081597793406776,14.12423339680263,1.2377657139441465,-0.0087856296201938,3.571425832738817,139.4222926214452,108._16,108,1916.4121719832087,5939.079697420037,2809.5815446070005,1239.9200784019329,3049.966161800002,33.83165285703492,1.7628731949292955,0.7848915208553923,19618.537904057936,51792.45366034597,43.607150737373125,1.4952592055574467,3.3365203911284738,384.19106828337584,27859.953951860705,12.31784191985952,1.452810883129131,5564.021760049083,190.03053018130757,8.740980709434014,27.5407342817474,899.0367566567346,12.537115484655509,0.4283884153855741,972.0471308302656,133.44249905774663,1.020149591506626,272.77561027647783,5845.806729272049,108
1093.2321513500906,221.22899881787384,28.054846155594497,26.05254060758317,520.8188770104223,0.4450103018558215,0.0253716797697511,0.5078625029303859,530.7770434037662,94.65173252460612,26.71125186145928,-0.028738714120038,0.3555204902554632,2.06411150307521,881.1417861916169,0.0125000875006125,-0.0093182602915284,200.3006294260673,0.2090813022744024,0.0043902932042372,0.0880703948556206,6.752948048669143,-0.0107980455679624,-0.081597793406776,9.812673851170372,1.2377657139441465,-0.0087856296201938,4.106203008767007,123.85885354225356,108._17,108,1958.0943644851116,4958.689988499876,2313.706609157314,1190.46132986535,3992.276979529426,23.02892975232477,1.2155802704652654,0.9265484082804396,16030.537931964072,47659.3555818959,39.93711199758363,1.3868130828410363,2.4839689016924256,302.86922375890856,22982.34494781707,9.21741403459579,1.142760427375359,4810.824391393435,147.75129342122494,7.199140368022666,23.86799757484209,771.9267913303171,19.96303651788828,0.0,770.6211015096181,118.37736709867806,1.0221553774910304,211.0899197851898,4814.786781413299,108
663.5674280157968,170.8258830873842,13.941561161339717,18.98428275081621,405.5963942854452,0.0863354357059837,-0.0805714542132609,0.6607431361460925,405.4984531858012,74.27898119067382,-1.429390618279237,-0.028738714120038,0.0888801225638657,1.225246177455245,654.9757252035295,-0.01000007000049,0.0465913014576423,140.59294435412582,0.1433709319218876,0.1562222253113585,0.0270985830324986,1.8171224224331948,0.0215960911359248,-0.081597793406776,12.15412363116631,1.5909876878191271,-0.0244666355287291,4.844224120098875,86.53276501132939,108._18,108,2058.8975687173725,4140.52145810376,1868.3556543118204,953.5760967227696,2566.85827600377,23.578974317314216,1.2006722619224344,0.6986451745806158,13020.689426474835,41903.430796975525,37.35248089606814,1.104273527822013,2.6032529699903804,272.3448445027127,19013.488316342624,7.567293160355635,0.1490923069828282,3753.451114929549,125.52182126655777,6.5553906989362005,22.0432398205496,588.3509714573485,13.08057071977717,0.0,689.0560609827339,107.3204239744627,1.109904548879427,214.0742392567329,4002.354927006275,108
818.8999920749968,148.39777229341487,13.458662382932742,15.47539266331176,280.9584305739901,0.1496707757671518,-0.0924998433760662,0.1677685634012723,365.8793912441202,33.53667621156628,0.2069844727100354,0.0287387141200381,0.4221805821783626,1.577424605670263,534.1294699335849,-0.01000007000049,-0.0372730411661138,131.69759389433233,0.2532888554798708,0.1128861619058296,0.0474225203068726,1.6480845589042852,0.0053990227839812,-0.081597793406776,9.979094860332562,0.2374608489282278,-0.0024466635528729,2.9887554310990367,79.23097296007568,108._19,108,1754.556334581766,3155.56388184299,1209.3991878541278,825.6071352703078,2626.883570434456,15.014994615121235,0.6112969251655266,-0.2094248655942692,9989.043450340909,30640.222267796667,33.58864848225018,1.1978394459134984,1.1297135530146931,193.86400791627025,14431.960973150342,6.585057429701375,0.0093182691864267,2942.407999998861,87.2813471960884,5.58665310794316,14.67694733249092,460.7671321140558,15.372153249445727,0.0,499.691582917602,60.64033348660517,0.6247917044256477,159.51702982994573,2917.879054528259,108
